,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
10,Thailand,0.54,11.01,27.79,0.88,1.1,58.4,0.11,82095,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,0.0,cooler,24.6,76.3,24.6,76.3,25.0,77.1,25.5,77.8,21.65,0.11,21.65,Database 1
11,Thailand,0.23,6.11,26.21,0.63,1.1,58.0,0.11,82096,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0.0,cooler,24.9,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65,Database 1
12,Thailand,-0.2,5.87,24.45,0.41,1.1,57.6,0.11,82097,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,34.0,0.0,no change,24.9,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65,Database 1
13,Thailand,-0.1,5.2,25.05,0.61,1.1,58.4,0.11,82098,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0.0,no change,23.8,74.8,23.8,74.8,24.3,75.8,24.9,76.8,21.65,0.11,21.65,Database 1
14,Thailand,-0.29,6.73,24.25,0.61,1.1,58.9,0.1,82099,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37.0,0.0,no change,23.0,73.4,23.0,73.4,23.6,74.5,24.2,75.5,19.69,0.1,19.69,Database 1
15,Thailand,-0.3,6.83,24.36,0.61,1.1,58.9,0.11,82100,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31.0,1.0,cooler,23.1,73.6,23.1,73.6,23.7,74.7,24.3,75.7,21.65,0.11,21.65,Database 1
16,Thailand,0.01,5.0,25.67,0.61,1.1,59.6,0.14,82101,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,30.0,1.0,cooler,24.6,76.3,24.6,76.3,24.9,76.9,25.3,77.5,27.56,0.14,27.56,Database 1
17,Thailand,0.24,6.17,26.2,0.61,1.1,59.2,0.11,82102,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,0.0,no change,25.1,77.2,25.1,77.2,25.4,77.7,25.6,78.2,21.65,0.11,21.65,Database 1
18,Thailand,0.3,6.93,26.4,0.65,1.1,58.3,0.1,82103,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,38.0,-1.0,no change,24.9,76.8,24.9,76.8,25.3,77.6,25.8,78.4,19.69,0.1,19.69,Database 1
19,Thailand,0.09,5.15,25.83,0.51,1.1,58.8,0.14,82104,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24.0,1.0,cooler,25.3,77.5,25.3,77.5,25.8,78.4,26.3,79.3,27.56,0.14,27.56,Database 1
20,Thailand,0.21,5.93,26.3,0.66,1.1,58.4,0.12,82105,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,1.0,cooler,24.7,76.5,24.7,76.5,25.2,77.3,25.7,78.2,23.62,0.12,23.62,Database 1
21,Thailand,-0.18,5.67,24.92,0.55,1.1,59.9,0.13,82106,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,36.0,2.0,cooler,24.3,75.7,24.3,75.7,24.7,76.4,25.1,77.1,25.59,0.13,25.59,Database 1
22,Thailand,0.25,6.28,26.77,0.84,1.1,60.2,0.15,82107,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,53.0,0.0,no change,24.0,75.2,24.0,75.2,24.5,76.1,25.0,77.0,29.53,0.15,29.53,Database 1
23,Thailand,-0.11,5.25,24.93,0.56,1.1,59.8,0.11,82108,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29.0,0.0,no change,24.2,75.6,24.2,75.6,24.6,76.2,25.0,76.9,21.65,0.11,21.65,Database 1
24,Thailand,-0.15,5.46,25.06,0.56,1.1,59.4,0.13,82109,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,35.0,0.0,cooler,24.2,75.6,24.2,75.6,24.7,76.4,25.2,77.3,25.59,0.13,25.59,Database 1
25,Thailand,-0.07,5.09,25.51,0.65,1.1,59.7,0.14,82110,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,52.0,-1.0,cooler,23.8,74.8,23.8,74.8,24.5,76.1,25.2,77.4,27.56,0.14,27.56,Database 1
26,Thailand,-0.55,11.32,23.61,0.34,1.1,63.8,0.15,82111,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,34.0,0.0,no change,24.8,76.6,24.8,76.6,25.2,77.3,25.6,78.0,29.53,0.15,29.53,Database 1
27,Thailand,0.31,7.06,26.51,0.56,1.1,64.8,0.17,82112,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,32.0,1.0,cooler,25.8,78.4,25.8,78.4,26.2,79.2,26.7,80.0,33.46,0.17,33.46,Database 1
28,Thailand,0.32,7.09,26.74,0.65,1.1,63.6,0.12,82113,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29.0,1.0,cooler,24.9,76.8,24.9,76.8,25.4,77.8,26.0,78.8,23.62,0.12,23.62,Database 1
29,Thailand,0.13,5.33,26.07,0.63,1.1,61.9,0.13,82114,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24.0,1.0,cooler,24.7,76.5,24.7,76.5,25.0,77.0,25.4,77.6,25.59,0.13,25.59,Database 1
30,Thailand,-0.15,5.49,25.01,0.64,1.1,61.2,0.17,82115,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,0.0,cooler,23.9,75.0,23.9,75.0,24.5,76.0,25.0,77.0,33.46,0.17,33.46,Database 1
31,Thailand,-0.29,6.75,24.53,0.65,1.1,61.0,0.17,82116,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,0.0,no change,23.5,74.3,23.5,74.3,24.0,75.2,24.5,76.1,33.46,0.17,33.46,Database 1
32,Thailand,-0.67,14.57,23.12,0.56,1.1,61.6,0.21,82117,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,0.0,no change,23.3,73.9,23.3,73.9,23.7,74.7,24.2,75.6,41.34,0.21,41.34,Database 1
33,Thailand,-0.29,6.7,24.32,0.56,1.1,62.4,0.11,82118,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,54.0,-1.0,cooler,23.6,74.5,23.6,74.5,24.0,75.2,24.4,75.8,21.65,0.11,21.65,Database 1
34,Thailand,-0.28,6.62,24.6,0.55,1.1,61.7,0.15,82119,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24.0,1.0,cooler,24.1,75.4,24.1,75.4,24.5,76.2,25.0,77.0,29.53,0.15,29.53,Database 1
35,Thailand,-0.33,7.31,24.3,0.55,1.1,57.0,0.12,82120,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29.0,-1.0,no change,23.7,74.7,23.7,74.7,24.2,75.5,24.7,76.4,23.62,0.12,23.62,Database 1
36,Thailand,-0.98,25.36,22.35,0.34,1.1,57.1,0.13,82121,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,23.0,1.0,no change,23.6,74.5,23.6,74.5,24.0,75.2,24.4,75.9,25.59,0.13,25.59,Database 1
37,Thailand,-0.98,25.48,22.32,0.34,1.1,56.6,0.13,82122,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27.0,-1.0,warmer,23.7,74.7,23.7,74.7,24.0,75.2,24.2,75.6,25.59,0.13,25.59,Database 1
38,Thailand,-0.87,20.93,22.74,0.46,1.1,57.1,0.15,82123,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25.0,0.0,no change,23.1,73.6,23.1,73.6,23.6,74.5,24.1,75.4,29.53,0.15,29.53,Database 1
39,Thailand,-0.5,10.23,23.58,0.56,1.1,56.9,0.11,82124,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27.0,0.0,no change,23.1,73.6,23.1,73.6,23.4,74.2,23.7,74.7,21.65,0.11,21.65,Database 1
40,Thailand,-0.85,20.24,22.55,0.46,1.1,57.1,0.12,82125,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,23.0,0.0,no change,23.0,73.4,23.0,73.4,23.3,73.9,23.5,74.4,23.62,0.12,23.62,Database 1
41,Thailand,-0.53,10.79,23.5,0.63,1.1,57.1,0.11,82126,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25.0,0.0,no change,22.5,72.5,22.5,72.5,22.8,73.1,23.1,73.7,21.65,0.11,21.65,Database 1
42,Thailand,-0.75,16.72,23.05,0.65,1.1,57.9,0.15,82127,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31.0,0.0,no change,22.0,71.6,22.0,71.6,22.4,72.4,22.9,73.2,29.53,0.15,29.53,Database 1
43,Thailand,-1.42,46.81,21.08,0.41,1.1,58.2,0.13,82128,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,38.0,0.0,no change,21.6,70.9,21.6,70.9,22.1,71.9,22.7,72.8,25.59,0.13,25.59,Database 1
44,Thailand,-0.69,15.05,22.76,0.57,1.1,58.0,0.1,82129,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,21.0,0.0,cooler,22.3,72.1,22.3,72.1,22.6,72.7,22.9,73.3,19.69,0.1,19.69,Database 1
45,Thailand,-0.45,9.23,24.05,0.68,1.1,57.8,0.13,82130,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,21.0,0.0,no change,22.6,72.7,22.6,72.7,23.0,73.4,23.4,74.1,25.59,0.13,25.59,Database 1
46,Thailand,-0.58,11.99,23.5,0.65,1.1,56.8,0.12,82131,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31.0,0.0,no change,22.2,72.0,22.2,72.0,22.7,72.8,23.2,73.7,23.62,0.12,23.62,Database 1
47,Thailand,-0.8,18.59,22.89,0.65,1.1,56.7,0.16,82132,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,46.0,-2.0,warmer,21.8,71.2,21.8,71.2,22.4,72.3,23.0,73.4,31.5,0.16,31.5,Database 1
48,Thailand,-1.1,30.73,21.98,0.56,1.1,57.5,0.15,82133,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,-1.0,no change,21.5,70.7,21.5,70.7,22.0,71.7,22.6,72.7,29.53,0.15,29.53,Database 1
49,Thailand,-1.65,59.17,20.52,0.34,1.1,57.1,0.13,82134,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,0.0,no change,21.7,71.1,21.7,71.1,22.2,72.0,22.8,73.0,25.59,0.13,25.59,Database 1
50,Thailand,-0.86,20.64,22.42,0.56,1.1,57.7,0.11,82135,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29.0,0.0,no change,21.7,71.1,21.7,71.1,22.3,72.1,22.9,73.2,21.65,0.11,21.65,Database 1
51,Thailand,0.06,5.07,25.91,0.96,1.1,56.9,0.1,82136,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29.0,-2.0,warmer,22.3,72.1,22.3,72.1,22.7,72.9,23.2,73.7,19.69,0.1,19.69,Database 1
52,Thailand,-0.37,7.8,24.19,0.46,1.1,37.7,0.12,82137,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,44.0,1.0,cooler,24.5,76.1,24.5,76.1,25.1,77.2,25.7,78.2,23.62,0.12,23.62,Database 1
53,Thailand,-0.04,5.03,25.2,0.59,1.1,36.6,0.11,82138,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,30.0,0.0,cooler,24.5,76.1,24.5,76.1,25.2,77.4,25.9,78.6,21.65,0.11,21.65,Database 1
54,Thailand,-0.12,5.31,24.88,0.55,1.1,36.5,0.11,82139,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,0.0,no change,24.6,76.3,24.6,76.3,25.2,77.3,25.8,78.4,21.65,0.11,21.65,Database 1
55,Thailand,-0.19,5.72,24.67,0.56,1.1,36.5,0.11,82140,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24.0,0.0,no change,24.5,76.1,24.5,76.1,24.9,76.8,25.3,77.5,21.65,0.11,21.65,Database 1
56,Thailand,-0.78,17.9,23.01,0.57,1.1,37.3,0.21,82141,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27.0,-1.0,no change,23.3,73.9,23.3,73.9,23.9,75.0,24.5,76.2,41.34,0.21,41.34,Database 1
57,Thailand,-0.86,20.45,22.94,0.56,1.1,37.8,0.15,82142,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,22.0,-1.0,no change,22.6,72.7,22.6,72.7,23.2,73.8,23.8,74.9,29.53,0.15,29.53,Database 1
58,Thailand,-0.42,8.73,24.04,0.67,1.1,37.6,0.11,82143,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25.0,0.0,no change,22.8,73.0,22.8,73.0,23.4,74.1,24.0,75.2,21.65,0.11,21.65,Database 1
59,Thailand,-0.63,13.46,23.62,0.56,1.1,37.0,0.15,82144,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0.0,no change,23.2,73.8,23.2,73.8,23.9,75.0,24.6,76.3,29.53,0.15,29.53,Database 1
60,Thailand,-0.38,8.0,23.99,0.56,1.1,36.6,0.1,82145,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,1.0,cooler,23.6,74.5,23.6,74.5,24.1,75.4,24.7,76.4,19.69,0.1,19.69,Database 1
61,Thailand,-0.56,11.48,23.75,0.56,1.1,36.3,0.13,82146,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27.0,0.0,cooler,23.6,74.5,23.6,74.5,23.9,75.1,24.3,75.7,25.59,0.13,25.59,Database 1
62,Thailand,-0.72,16.04,23.14,0.46,1.1,35.6,0.12,82147,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28.0,0.0,no change,23.7,74.7,23.7,74.7,24.1,75.3,24.5,76.0,23.62,0.12,23.62,Database 1
