,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
61,0.4,8,26.71,0.73,1.2,24.9,57,0.21,-1,25.2,25.2,-1,61
62,0.8,19,28.84,0.58,1.6,24.7,56.4,0.07,0,25,25,0,61
63,0.2,6,26.13,0.63,1.2,24.2,57.6,0.1,0,24.5,24.5,1,61
64,0.4,8,27.3,0.73,1.2,23.6,60.3,0.11,0,24.7,24.7,0,61
65,0.1,5,25.5,0.55,1.2,24.2,59.3,0.07,1,24.5,24.5,0,61
66,0.8,18,29.23,0.69,1.5,25.2,56.3,0.14,0,25.4,25.3,-1,61
67,1,28,30.6,0.66,1.6,25.5,57.6,0.12,0,26,26,0,61
68,0.4,9,27.01,0.73,1.2,24.4,56,0.21,0,25.4,25.4,0,61
69,0.4,9,27.07,0.62,1.2,24.5,57.6,0.11,0,25.2,25.2,0,61
70,1,26,30.55,0.61,1.9,23.4,59.3,0.11,0,24.7,24.7,0,64.6
71,0.5,10,27.26,0.54,1.5,23.8,58.5,0.06,0,24.5,24.4,0,64.6
72,0.5,10,27.28,0.73,1.2,24.3,57.5,0.07,0,25,24.9,0,64.6
73,0.4,9,26.75,0.63,1.2,25.1,53.4,0.22,1,26.1,26.1,0,64.6
74,0.9,21,29.12,0.72,1.3,25.2,58.5,0.08,0,26,25.9,0,64.6
75,0.7,14,27.65,0.68,1.2,25.3,43.7,0.09,0,26.3,26.2,0,64.6
76,0.7,15,28.21,0.73,1.2,25.1,44.3,0.12,2,26.3,26.3,2,64.6
77,0.8,17,28.49,0.73,1.2,25.9,47.1,0.13,0,26.6,26.5,0,64.6
78,0.9,24,28.91,0.68,1.2,25.6,44.7,0.11,0,27.5,27.4,1,64.6
79,1.2,37,32.08,0.71,2,24.4,57.1,0.1,0,25.2,25.1,0,64.6
80,1.1,30,30.31,0.63,1.8,24.9,42.4,0.1,2,25.9,25.9,2,64.6
81,1,25,29.21,0.72,1.4,25.7,43.5,0.04,1,26.7,26.7,2,64.6
82,0.5,11,27.7,0.62,1.3,24.6,48.1,0.13,0,26,26,0,64.6
83,0.7,14,28.28,0.74,1.2,25.2,50.8,0.13,0,26.1,26,0,64.6
84,0.6,12,27.88,0.74,1.2,25.2,49.1,0.13,-1,25.7,25.7,0,64.6
85,0.9,23,29.16,0.69,1.4,25.5,52,0.07,0,26.1,26.1,0,64.6
86,0.8,20,28.8,0.75,1.2,25.4,53.3,0.1,1,26.4,26.4,0,64.6
87,0.6,12,28.19,0.93,1.2,23.2,52.8,0.1,0,24.5,24.5,0,64.6
88,0.7,16,28.92,0.98,1.2,23.7,56,0.09,0,24.8,24.8,0,64.6
89,0.2,6,26.14,0.68,1.2,23.4,49.4,0.09,-2,24.4,24.4,0,64.6
90,0.2,6,26.04,0.66,1.2,23.7,48,0.09,-2,24.5,24.5,-2,64.6
91,0.6,13,27.19,0.6,1.2,25.6,47.5,0.07,1,26.2,26.2,0,64.6
92,0.9,21,28.49,0.73,1.2,25.7,48.3,0.04,1,26.8,26.7,0,64.6
93,0.8,20,28.33,0.68,1.2,25.9,46.4,0.09,1,26.9,26.8,2,64.6
94,0.9,23,29.11,0.69,1.4,25,46.8,0.08,0,26.3,26.2,1,64.6
95,1,27,30.18,0.63,1.7,25.6,44.4,0.14,0,26,26,1,64.6
96,0.4,8,27.23,0.74,1.2,23,75.3,0.1,0,24,24,0,64.4
97,0.3,7,26.76,0.64,1.2,23.6,69.6,0.08,0,24.7,24.6,0,64.4
98,0.4,8,27.36,0.67,1.2,23.6,72.4,0.11,-1,24.8,24.7,0,64.4
99,0.7,15,28.32,0.4,1.6,24.4,70.7,0.1,0,25.3,25.3,2,64.4
100,1.5,50,33.6,0.57,2.2,24.5,70,0.12,2,25.5,25.5,0,64.4
101,0.8,20,29.28,0.65,1.3,24.5,71.1,0.1,0,26.2,26.1,2,64.4
102,0.7,16,28.9,0.73,1.2,24.8,68.2,0.12,0,25.8,25.8,0,64.4
103,1,25,29.36,0.68,1.2,25.4,65.7,0.09,0,26.8,26.8,0,64.4
104,0.8,18,28.4,0.56,1.2,25.8,63.7,0.1,0,26.8,26.8,-1,64.4
105,1.2,35,31.01,0.64,1.4,26.4,63.2,0.13,1,27.5,27.5,0,64.4
106,1.1,30,30.06,0.68,1.2,26.2,62.9,0.12,0,27.6,27.5,0,64.4
107,0.9,23,28.75,0.63,1.2,26,61.5,0.05,0,26.9,26.9,0,64.4
108,0.8,18,29.76,0.63,1.7,23.7,64.9,0.13,0,24.4,24.3,0,64.4
109,0.3,7,26.67,0.58,1.2,24.3,66.7,0.1,0,24.8,24.8,0,64.4
110,0.5,10,27.23,0.43,1.4,25.1,62.2,0.11,0,25.7,25.7,0,64.4
111,0.8,19,29.57,0.89,1.2,24.7,63.1,0.13,0,25.6,25.6,0,64.4
112,1,27,29.33,0.73,1.2,26.1,58.8,0.08,0,26.8,26.8,2,64.4
113,1.3,41,31.38,0.62,1.6,27,55.8,0.11,0,27.6,27.6,0,64.4
114,0.7,15,28.39,0.73,1.2,23.9,50.6,0.12,0,26.2,26.1,1,64.4
115,0.2,6,26.37,0.68,1.2,23.9,50.6,0.18,0,25,25,0,64.4
116,0.8,20,30.05,1.01,1.3,23.8,54.8,0.15,-2,25,25,0,64.4
117,0.1,5,25.93,0.68,1.2,22.6,52.5,0.27,0,25,24.9,0,64.4
118,0.9,21,28.98,0.72,1.3,25.4,54.8,0.06,1,26.1,26,0,64.4
119,0.2,6,26.43,0.64,1.4,23.1,46.4,0.12,0,23.7,23.7,-1,61.7
120,0.2,6,26.21,0.73,1.2,23.2,43.7,0.06,0,24.5,24.4,0,55.9
121,0.2,6,25.99,0.53,1.7,20.4,52.3,0.23,0,23,22.9,0,55.9
122,0.4,8,26.87,0.7,1.4,23.1,44.4,0.09,0,23.9,23.9,0,55.9
123,1,25,30.4,0.96,1.6,24.2,43.3,0.08,0,24.6,24.6,1,55.9
124,0.7,16,28.32,0.66,1.6,23.8,44.2,0.07,0,24.8,24.8,0,55.9
125,0.6,14,28.22,0.64,1.7,22.7,45.3,0.07,0,24,24,0,55.9
126,0.9,20,30.48,0.88,2,21.6,50.9,0.18,0,22.3,22.3,-1,55.9
127,0.4,9,27,0.74,1.2,24.2,45.9,0.05,0,25.1,25.1,-1,55.9
128,0.6,12,27.38,0.68,1.2,24.7,38.6,0.2,0,26.7,26.6,1,55.9
129,0.7,14,27.4,0.64,1.2,26.2,38.2,0.09,0,26.5,26.5,0,55.9
130,0.9,21,28.35,0.67,1.3,26.1,39.1,0.09,2,26.9,26.9,2,55.9
131,1,28,29.35,0.72,1.3,26.2,36.4,0.1,1,27.4,27.4,2,55.9
132,1.9,72,33.99,0.59,2.7,24.5,43.2,0.02,0,26.1,26.1,0,55.9
133,0.7,15,27.99,0.71,1.3,24.5,44.3,0.01,0,26.1,26.1,0,55.9
134,0.5,10,27.36,0.74,1.2,24.6,41.9,0.17,0,25.9,25.8,0,55.9
135,-0.1,5,24.99,0.71,1.2,21.6,45.2,0.1,0,23,23,0,55.9
136,0.8,19,29.03,0.7,1.6,25.3,40.3,0.12,1,25.4,25.4,0,55.9
137,0.2,6,26.08,0.73,1.2,23,46.7,0.08,0,24.2,24.2,0,55.9
138,-0.6,13,23.73,0.69,1.2,20.1,54.4,0.23,-1,22.3,22.2,-1,55.9
139,0.2,6,26.79,0.86,1.3,22.4,51,0.13,-1,23.1,23.1,0,61.2
140,-0.1,5,24.74,0.66,1.2,23.2,49.6,0.1,0,23.2,23.2,1,61.2
141,-0.1,5,24.85,0.64,1.2,23,48.4,0.07,0,23.5,23.5,0,61.2
142,0.3,7,26.88,0.83,1.3,22.5,52.9,0.05,0,23.7,23.6,0,61.2
143,0.2,6,26.3,0.77,1.2,23.4,50.9,0.06,0,24,23.9,0,61.2
144,0.9,22,30.3,0.72,2.2,21.4,51.2,0.06,0,21.7,21.7,0,60.9
145,-0.2,6,24.8,0.92,1.2,21.2,50.6,0.07,1,21.2,21.2,0,60.9
146,0.8,17,30.33,0.97,1.8,20.9,53.6,0.05,0,22,21.9,0,60.9
147,0.9,23,31.66,0.88,2.3,18.5,49.3,0.13,-2,20.8,20.7,-2,60.9
148,0.6,12,29.01,1.01,1.6,21,54.3,0.04,0,22,22,-1,60.9
149,1,28,31.49,0.91,1.9,22.6,49.6,0.06,0,23.2,23.2,0,60.9
150,0.133333333,9,25.96333333,0.68,1.6,22.83333333,51.3,0.1,0,23.76666667,23.76666667,0,60.9
151,0,5,25.43,0.74,1.3,20.9,55.5,0.1,0,22.1,22.1,0,60.9
152,-0.1,5,25,0.58,1.4,21.8,52.6,0.11,0,22.3,22.3,2,60.9
153,1.1,29,31.68,0.96,2,22,41.8,0.06,0,23,23,0,60.9
154,0.1,5,25.56,0.69,1.3,23.4,39.5,0.06,-1,23.7,23.7,0,60.9
155,0.3,7,26.18,0.46,1.7,22.6,45.7,0.05,0,23.2,23.2,0,60.9
156,0.2,6,25.9,0.81,1.2,23.8,50.2,0.05,0,22.5,23.1,0,60.9
157,0.5,11,28.13,1.02,1.3,22.8,44,0.06,0,23.1,23.1,0,60.9
158,0,5,25.5,0.72,1.3,22.4,43.8,0.08,0,23.2,23.2,0,60.9
159,0.7,16,28.35,0.56,1.9,23.5,44.9,0.05,0,23.6,23.6,0,60.9
160,0.2,6,25.82,0.54,1.4,23.6,44.6,0.05,1,23.9,23.9,0,60.9
161,-0.3,7,24.15,0.58,1.2,22.9,40,0.1,0,23.4,23.4,0,60.9
162,-0.1,5,24.85,0.63,1.2,23,42.5,0.08,2,23.7,23.7,-1,60.9
163,-0.6,14,22.96,0.61,1.2,22.4,60.4,0.3,0,24.6,23,2,66.9
164,1,28,30.39,0.48,2.2,22.7,62.2,0.06,0,26,23.6,0,66.9
165,0.3,7,27.04,0.85,1.2,22.8,61.2,0.09,0,26,23.6,0,66.9
166,0.9,21,29.67,0.53,2,23,61.6,0.06,0,25.7,23.6,-1,66.9
167,0.4,8,27.02,0.63,1.2,25.2,55.7,0.12,0,26,25.4,0,66.9
168,1.2,36,31.33,0.54,2,25.3,53.8,0.13,0,27.5,25.8,0,66.9
169,0.4,8,26.71,0.61,1.2,25,57.3,0.11,0,25.8,25.2,0,66.9
170,0.6,12,27.46,0.63,1.2,25.5,54.1,0.1,0,27,25.9,2,66.9
171,0.9,22,28.64,0.73,1.2,26.3,51.5,0.07,1,27,26.5,1,66.9
172,0.7,17,27.71,0.64,1.2,26.2,44.2,0.02,0,28.4,26.7,0,66.9
173,1.7,59,33.35,0.66,2,26.8,49.5,0.06,0,29.8,27.6,0,66.9
174,1.2,37,31.57,0.61,2,25.4,54.4,0.1,1,25.2,25.3,0,66.9
175,1.3,41,31.94,0.61,2,25.1,57.3,0.07,2,27.1,25.6,0,66.9
176,1.3,39,31.52,0.56,2,24.9,58.3,0.06,2,27.8,25.6,0,66.9
177,1,27,28.95,0.68,1.2,26.9,50.9,0.07,2,27.9,27.2,2,66.9
178,1.1,29,29.03,0.61,1.2,27.3,50.1,0.09,1,29.4,27.8,0,66.9
179,2.4,91,35.2,0.53,2.8,27,51.8,0.05,2,31.4,28.1,0,66.9
180,1.3,40,30.07,0.68,1.2,27.1,52.5,0.08,2,31.8,28.3,0,66.9
181,0.8,18,29.27,0.66,1.6,23.7,61.5,0.07,0,26.8,24.5,0,57.7
182,0.8,19,29.06,0.61,1.6,24.3,60.1,0.05,0,26.3,24.8,0,57.7
183,0.9,23,30.01,0.7,1.6,24.3,60.3,0.02,0,27.7,25.1,0,57.7
184,0.7,15,28.35,0.56,1.5,24.3,65.7,0.08,0,27.5,25,2,57.7
185,0.7,15,28.59,0.64,1.4,24,63.3,0.1,0,28.6,25.1,-1,57.7
186,1,25,30.56,0.88,1.5,24.2,61.5,0.05,0,28.1,25.1,0,57.7
187,1.3,40,30.87,0.38,2.2,24.4,60.5,0.08,0,29.3,25.5,0,57.7
188,0.5,9,27.68,0.71,1.2,24.2,61.8,0.13,0,27.9,25.1,0,57.7
189,1.1,30,31.48,0.95,1.5,24.2,61.7,0.1,0,29.4,25.3,0,57.7
190,1.3,39,32.61,0.79,1.8,24.4,60.5,0.09,0,28.9,25.4,0,57.7
191,0.8,19,29.4,0.72,1.4,24.5,59.9,0.11,0,27.7,25.2,0,57.7
192,1.1,31,31.79,0.98,1.5,24.5,60.1,0.12,1,29.7,25.6,2,57.7
193,0.9,22,29.52,0.71,1.5,24.9,59.1,0.07,1,26.6,25.3,-1,57.7
194,0.8,20,29.21,0.8,1.3,24.9,59.3,0.04,0,27.3,25.4,0,57.7
195,1,25,30.13,0.66,1.6,24.5,61,0.08,1,28.6,25.4,1,57.7
196,0.8,17,29.16,0.87,1.2,24.5,62.2,0.12,0,28.3,25.4,-1,57.7
197,-0.2,6,24.62,0.87,1.2,20.8,61.1,0.04,-1,22.5,21.2,0,54.5
198,-0.4,8,23.84,0.67,1.3,20.8,56.9,0.07,-1,22.6,21.2,0,54.5
199,0.3,6,26.84,0.91,1.3,21.7,54.9,0.06,0,24.2,22.3,0,54.5
200,0.3,7,26.94,0.7,1.6,21.1,56.6,0.07,-1,25.2,22.1,-1,54.5
201,0.5,9,27.49,0.58,1.8,21.7,56.1,0.09,-1,24.2,22.3,-2,54.5
202,0.3,7,26.76,0.71,1.5,21.6,55.9,0.1,0,26,22.6,0,54.5
203,-0.3,7,24.04,0.69,1.2,21.6,56.5,0.08,0,23.7,22.1,-1,54.5
204,0.7,14,28.87,0.84,1.6,22.7,50.5,0.08,0,24.1,23,0,54.5
205,0.4,9,27.29,0.71,1.5,22.8,49.7,0.07,0,25.5,23.5,0,54.5
206,1.6,58,34.11,0.85,2.7,22,56.8,0.09,0,25.7,22.8,-1,54.5
207,-0.2,6,24.48,0.68,1.2,21.7,52.9,0.07,0,25.6,22.7,0,54.5
208,0.2,6,26.51,0.99,1.2,21.6,50.9,0.08,0,24.6,22.4,0,54.5
209,1.4,47,33.71,0.8,2.4,23.4,58.4,0.04,1,21.7,23,2,54.5
210,0.1,5,26.45,0.99,1.2,22.6,55.9,0.15,-2,21.8,22.4,0,54.5
211,0.5,10,28.13,1.04,1.2,22.4,57.6,0.11,-1,27.1,23.4,0,55.3
212,1,25,29.6,0.66,1.6,25.7,48.8,0.06,1,25.1,25.5,1,55.3
213,1,27,29.28,0.83,1.2,26.5,45.7,0.07,1,27.6,26.8,2,55.3
214,0.7,17,28.79,0.66,1.6,23.4,51.8,0.07,0,28,24.6,0,55.3
215,0.3,7,27.08,0.68,1.6,21.1,51.5,0.12,0,25.9,22.3,0,55.3
216,0.4,8,28.79,1.16,1.4,19.1,59.8,0.13,0,26.7,21.1,-1,55.3
217,0.5,11,28.66,0.67,2,20.9,59.6,0.12,-2,21.4,21,-2,55.3
218,0.3,7,26.73,0.5,2,20.8,59.4,0.07,-1,21.2,20.9,2,55.3
219,-0.5,10,23.9,0.74,1.2,21.3,46.6,0.18,0,25,22.1,0,55.3
220,0.5,11,28.75,0.92,1.6,21.1,49,0.17,0,28.2,22.6,0,55.3
221,0.1,5,25.92,0.73,1.2,22.9,48.1,0.1,0,26.4,23.8,0,57.7
222,0.8,20,29.18,0.61,1.9,23.5,48,0.03,1,25.4,24,0,57.7
223,0.6,13,28.02,0.74,1.4,24.1,47.1,0.05,0,26.1,24.6,1,57.7
224,0.4,9,26.98,0.71,1.2,24.1,47.7,0.09,0,28.1,25.1,2,57.7
225,0.2,6,25.77,0.57,1.2,24.1,47.4,0.07,0,27.5,25,0,57.7
226,0.8,19,28.96,0.66,1.6,24.2,46.8,0.08,0,27.5,25,1,57.7
227,0.5,11,27.68,0.68,1.5,23.5,50.3,0.04,0,26.4,24.2,0,57.7
228,0.2,6,26.11,0.73,1.2,23.1,52.9,0.08,0,26.5,23.9,0,57.7
229,0.9,20,30.24,1.01,1.5,22.7,54,0.09,0,28.8,24,0,57.7
230,0.5,10,27.65,0.77,1.3,23.2,52.7,0.09,0,28,24.3,1,57.7
231,0.6,13,27.8,0.72,1.3,24.6,51.4,0.03,0,26.4,25,-1,57.7
232,1.1,28,30.51,0.71,1.8,24.1,48.1,0.06,0,28,25,0,57.7
233,0.4,8,26.78,0.74,1.2,23.8,44.5,0.06,0,28.9,24.9,0,57.7
234,0.5,11,27.31,0.71,1.3,24.1,40.4,0.07,0,27.8,24.9,1,57.7
235,0.4,8,26.63,0.73,1.2,24.2,39.3,0.09,0,27.2,24.9,0,57.7
236,0.5,10,26.94,0.7,1.3,24.8,39.1,0.09,2,26.1,25.1,2,57.7
237,0.7,17,28.28,0.69,1.5,24.4,37.9,0.08,1,28.4,25.3,2,57.7
238,0.5,11,27.36,0.72,1.3,24.5,44.9,0.08,0,27,25.1,2,57.7
239,0.7,15,28.99,1.02,1.2,23.1,54.4,0.11,0,29.8,24.6,0,57.7
240,1.1,32,30.99,0.63,2.1,24,43.6,0.12,2,28.1,24.9,0,57.7
241,0.8,17,29.04,1.03,1.2,24.6,47.4,0.1,0,26.5,25,2,57.7
242,0.1,5,26.03,0.71,1.2,23,52.7,0.16,0,28,24.1,0,57.7
243,0.2,6,26.61,0.81,1.2,22.8,53.2,0.11,0,27,23.7,0,57.7
244,0.3,7,26.94,0.74,1.2,23.7,48.7,0.12,1,27.4,24.7,0,57.7
245,0.1,5,25.77,0.73,1.2,24.5,52.6,0.21,0,24.6,24.5,0,57.7
246,0.7,15,27.66,0.73,1.2,26.1,42.6,0.05,1,25.4,25.9,2,57.7
247,0.8,18,28.49,0.74,1.2,26.2,44.2,0.13,1,27.5,26.6,1,57.7
248,0.8,19,28.06,0.61,1.2,26.5,44.4,0.1,0,29,27.1,0,57.7
249,0.8,18,29.31,1,1.2,24.5,47.9,0.13,0,28.4,25.4,0,57.7
250,0.1,5,25.84,0.72,1.3,22.7,51.3,0.21,1,26.4,23.6,2,57.6
251,0.3,6,26.4,0.72,1.3,23.2,52,0.23,0,28.6,24.4,1,57.6
252,0.9,21,29.7,0.69,1.7,23.3,54,0.08,1,27.4,24.2,0,57.6
253,0.8,17,29.03,0.67,1.6,23.7,58.1,0.09,1,26.6,24.3,1,57.6
254,1.6,54,33.18,0.63,2.4,24.2,52.9,0.07,1,27.7,25,0,57.6
255,1.1,28,30.19,0.63,1.8,24.8,44.6,0.1,1,27.6,25.5,2,57.6
256,1,25,29.83,0.59,1.7,24.7,46.8,0.12,0,28.8,25.7,2,57.6
257,1.4,47,32.57,0.64,2.3,24.1,51,0.08,0,28,25,0,57.6
258,0.6,14,27.63,0.73,1.2,25.3,45,0.07,0,27.5,25.8,2,57.6
259,0.6,12,27.41,0.68,1.2,25.5,44.7,0.1,2,27.1,25.9,0,57.6
260,0.6,12,27.6,0.71,1.3,24.1,49.5,0.07,0,27,24.8,0,57.6
261,0.4,8,26.75,0.73,1.2,24,50.2,0.06,0,27.1,24.7,2,57.6
262,0.8,18,28.59,0.7,1.4,25.2,47.5,0.05,1,26.1,25.5,0,57.6
263,1.1,30,31.45,1.01,1.6,23.8,49.3,0.06,0,27.7,24.8,0,57.6
264,0.4,9,26.94,0.66,1.3,23.9,52.4,0.06,0,28.1,24.9,1,57.6
265,0.5,10,27.94,0.97,1.2,22.6,56.2,0.1,0,26.9,23.8,0,57.6
266,1.1,30,30.28,0.69,1.6,25.1,47.2,0.06,2,28.9,26.1,0,57.6
267,0.5,10,27.4,0.69,1.4,23.7,46.8,0.19,0,28.4,24.9,1,57.6
268,0.3,7,26.94,0.71,1.3,23.1,48.2,0.17,0,28.8,24.5,0,57.6
269,2,75,35.31,0.89,2.7,25.1,45.4,0.08,1,26.8,25.5,0,57.6
270,1.1,32,31.14,0.84,1.6,25.8,48.6,0.11,0,26.9,26.1,0,57.6
271,1.3,42,31.84,0.67,1.9,25.7,48.8,0.1,0,28.8,26.5,1,57.6
272,0.7,15,28.57,0.74,1.2,24.2,55.8,0.12,0,30.9,26,0,57.6
273,0.3,6,27,0.74,1.2,22.7,51.4,0.13,0,29.7,24.5,0,57.6
274,1,24,30.09,0.68,1.7,24,54.4,0.09,0,26.9,24.8,0,57.6
275,1.1,33,32.36,0.88,2,22.7,57.4,0.09,0,25.6,23.4,2,57.6
276,0.6,14,27.93,0.73,1.2,25.5,52.8,0.1,1,26.2,25.7,0,57.6
277,0.7,17,28.71,0.86,1.2,25.3,48.9,0.15,0,27.5,25.9,0,57.6
278,0.3,7,26.65,0.68,1.3,23.3,66.5,0.01,0,26.8,24.2,-2,62.1
279,0.3,7,26.78,0.73,1.2,22.8,66.1,0.08,-1,27.9,24.1,-1,62.1
280,0.3,7,27.17,0.73,1.2,22.9,65.9,0.12,-1,27.9,24.3,-2,62.1
281,0.3,6,26.91,0.73,1.2,23.6,65.7,0.16,1,26.6,24.4,-1,62.1
282,0.9,23,30.32,1.01,1.3,23.8,64,0.08,2,27.2,24.7,1,62.1
283,0.9,23,30.39,0.76,1.6,23.3,66.7,0.1,0,28.9,24.8,-1,62.1
284,0.5,10,27.54,0.74,1.2,23.2,66,0.09,0,29.1,24.7,0,62.1
285,0.4,8,27.37,0.73,1.2,23.3,65.9,0.12,0,27.8,24.5,0,62.1
286,0.5,11,28.07,0.86,1.2,23.6,63.5,0.1,0,26.9,24.4,-1,62.1
287,0.6,13,28.34,0.87,1.2,23.4,64.3,0.09,0,27.9,24.6,-1,62.1
288,0.8,19,29.61,1.04,1.2,23.6,63.9,0.09,0,28,24.7,0,62.1
289,0.6,13,28.13,0.76,1.2,23.9,61.6,0.07,0,28.5,25.1,-2,62.1
290,0.9,21,30.49,0.98,1.4,22.7,65.5,0.1,0,28.5,24.1,0,62.1
291,0.4,8,27.13,0.74,1.2,23.2,64.7,0.08,0,27.9,24.4,1,62.1
292,0.7,14,28.48,0.78,1.2,23.9,61.9,0.11,1,29.6,25.4,-1,62.1
293,0.8,20,30.31,0.96,1.6,22.7,58.4,0.07,0,25.9,23.6,0,56.8
