,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,PMV,PPD,SET,Clo,Met
71342,18.5,53.2,0.11,15.5,-2.0,-0.1,5.0,25.88,1.41,1.3
71343,18.7,51.5,0.11,15.5,-2.0,-0.6,13.0,22.81,1.51,1.1
71344,18.2,51.2,0.12,15.5,-2.0,-0.9,22.0,21.7,1.46,1.1
71345,17.0,56.5,0.12,15.5,-2.0,-0.2,6.0,25.55,1.47,1.3
71348,16.6,54.4,0.04,15.5,-2.0,-1.0,28.0,21.32,1.18,1.1
71350,16.8,54.2,0.07,15.5,-2.0,-0.3,7.0,24.81,1.62,1.1
71361,18.6,49.7,0.05,15.5,-2.0,0.0,5.0,26.52,1.69,1.1
71365,18.6,50.6,0.08,15.5,-2.0,0.4,8.0,28.87,2.01,1.1
71371,19.1,49.8,0.1,15.5,-2.0,0.3,7.0,28.47,1.65,1.3
71373,19.1,48.7,0.05,15.5,-2.0,0.4,8.0,28.96,1.64,1.3
71445,21.9,46.0,0.07,15.5,-2.0,-0.5,10.0,23.39,0.7,1.2
71450,22.9,43.6,0.1,15.5,-2.0,0.5,10.0,28.02,1.08,1.3
71541,24.0,42.9,0.06,15.5,-2.0,0.8,19.0,29.72,1.18,1.3
71548,24.8,41.2,0.06,15.5,-2.0,0.8,17.0,28.67,1.18,1.1
71549,24.7,42.4,0.03,15.5,-2.0,0.6,13.0,27.85,0.9,1.3
71592,22.6,45.6,0.05,15.5,-2.0,0.9,21.0,30.94,1.5,1.3
71638,19.3,51.0,0.07,15.5,-2.0,0.2,6.0,27.42,1.29,1.5
71651,18.0,56.0,0.08,15.5,-2.0,-0.8,18.0,22.3,1.16,1.1
71654,18.8,55.6,0.13,15.5,-2.0,-0.7,16.0,22.62,1.31,1.1
71657,17.5,59.2,0.07,15.5,-2.0,-0.6,13.0,22.98,1.3,1.1
71662,20.1,52.4,0.13,15.5,-2.0,0.3,6.0,27.98,1.73,1.1
71665,16.5,59.1,0.1,15.5,-2.0,-0.3,7.0,24.63,1.4,1.3
71675,18.7,53.3,0.2,15.5,-2.0,-1.7,62.0,18.79,0.95,1.1
71676,17.7,56.8,0.08,15.5,-2.0,-1.2,37.0,20.27,0.88,1.2
71685,18.2,59.7,0.04,15.5,-2.0,0.5,10.0,29.96,1.88,1.3
71689,17.7,54.4,0.03,15.5,-2.0,-0.3,7.0,24.63,1.53,1.1
71701,19.0,52.5,0.08,15.5,-2.0,0.3,7.0,28.37,1.98,1.1
71715,17.6,56.0,0.08,15.5,-2.0,-0.7,15.0,22.75,1.25,1.1
71724,18.2,57.0,0.03,15.5,-2.0,0.6,13.0,31.2,1.65,1.6
71725,18.3,56.4,0.03,15.5,-2.0,0.1,5.0,27.2,1.78,1.1
71740,16.8,54.8,0.06,15.5,-2.0,-0.7,16.0,22.46,1.04,1.3
71745,16.4,60.9,0.02,15.5,-2.0,-0.2,6.0,25.67,1.81,1.1
71748,19.2,54.3,0.06,15.5,-2.0,-0.2,6.0,25.11,1.39,1.1
71752,16.4,62.5,0.05,15.5,-2.0,-0.9,21.0,21.88,1.28,1.1
72243,20.4,85.6,0.0,18.5,-2.0,-0.1,5.0,25.15,1.03,1.1
72270,22.8,77.3,0.06,18.5,-2.0,-0.5,10.0,22.96,0.64,1.1
72376,20.4,85.9,0.03,18.5,-2.0,-0.4,8.0,23.68,0.92,1.1
72382,21.4,82.7,0.01,18.5,-2.0,-0.6,11.0,22.92,0.72,1.1
72510,20.9,83.2,0.02,18.5,-2.0,-1.2,34.0,21.07,0.53,1.1
72605,21.2,80.4,0.01,18.5,-2.0,0.1,5.0,26.07,0.91,1.3
72626,21.8,81.4,0.18,18.5,-2.0,0.0,5.0,25.95,1.01,1.1
72792,18.8,38.8,0.01,8.5,-2.0,0.3,7.0,28.52,1.79,1.3
72801,21.1,37.2,0.03,8.5,-2.0,0.3,7.0,27.72,1.63,1.1
72911,18.3,30.8,0.03,8.5,-2.0,0.0,5.0,26.32,1.7,1.1
72954,16.7,21.9,0.05,8.5,-2.0,-0.4,8.0,24.72,1.47,1.2
72958,16.5,24.1,0.03,8.5,-2.0,-0.4,8.0,24.79,1.7,1.1
73003,20.3,36.6,0.07,8.5,-2.0,0.3,7.0,27.88,1.86,1.1
73105,16.8,22.0,0.04,8.5,-2.0,0.1,5.0,27.61,1.79,1.4
73118,20.3,18.2,0.07,8.5,-2.0,-0.1,5.0,25.94,1.68,1.3
73125,18.5,25.6,0.03,8.5,-2.0,-0.1,5.0,25.89,1.44,1.3
78282,21.6,60.5,0.09,7.3,-2.0,-0.6,12.0,23.05,0.6,1.2
78291,21.6,60.5,0.09,7.3,-2.0,-1.1,30.0,21.29,0.4,1.2
78315,19.5,57.7,0.04,7.3,-2.0,-1.6,58.0,19.93,0.4,1.2
78317,19.5,57.7,0.04,7.3,-2.0,-0.9,22.0,22.07,0.65,1.2
78345,20.8,61.4,0.07,7.3,-2.0,-0.7,15.0,22.58,0.65,1.2
78349,20.8,61.4,0.07,7.3,-2.0,-0.8,19.0,22.14,0.6,1.2
78359,20.8,61.4,0.07,7.3,-2.0,-0.7,15.0,22.58,0.65,1.2
78364,20.8,61.4,0.07,7.3,-2.0,-0.8,19.0,22.14,0.6,1.2
78368,20.3,54.5,0.13,7.3,-2.0,-2.0,75.0,18.93,0.35,1.2
78374,20.3,54.5,0.13,7.3,-2.0,-1.1,28.0,21.57,0.65,1.2
78380,20.3,54.5,0.13,7.3,-2.0,-1.1,28.0,21.57,0.65,1.2
78388,20.3,54.5,0.13,7.3,-2.0,-1.2,34.0,21.15,0.6,1.2
78405,20.3,56.9,0.05,7.3,-2.0,-0.9,23.0,21.91,0.6,1.2
78426,18.6,58.3,0.04,7.3,-2.0,-1.2,37.0,20.78,0.65,1.2
78430,18.6,58.3,0.04,7.3,-2.0,-2.2,87.0,18.08,0.35,1.2
78459,19.9,59.2,0.09,7.3,-2.0,-1.8,66.0,19.49,0.35,1.2
78501,23.1,46.5,0.09,13.2,-2.0,-0.7,16.0,22.48,0.4,1.2
78513,22.7,51.6,0.07,13.2,-2.0,-0.1,5.0,24.76,0.65,1.2
78515,22.7,51.6,0.07,13.2,-2.0,-0.2,6.0,24.35,0.6,1.2
78522,22.7,51.6,0.07,13.2,-2.0,-0.7,15.0,22.66,0.4,1.2
78524,22.7,51.6,0.07,13.2,-2.0,-0.8,20.0,22.22,0.35,1.2
78603,23.5,55.1,0.1,13.2,-2.0,0.1,5.0,25.71,0.65,1.2
78632,25.5,53.7,0.06,13.2,-2.0,0.5,10.0,26.83,0.6,1.2
78702,21.1,55.4,0.04,13.2,-2.0,-0.7,17.0,22.41,0.6,1.2
78711,21.1,55.4,0.04,13.2,-2.0,-0.6,13.0,22.85,0.65,1.2
78716,21.1,55.4,0.04,13.2,-2.0,-0.7,17.0,22.41,0.6,1.2
78735,21.8,52.5,0.05,13.2,-2.0,-0.1,5.0,25.03,0.65,1.2
78746,21.8,52.5,0.05,13.2,-2.0,-0.8,20.0,22.55,0.35,1.2
78764,20.4,51.1,0.04,13.2,-2.0,-1.5,53.0,20.05,0.4,1.2
78766,20.4,51.1,0.04,13.2,-2.0,-0.8,19.0,22.18,0.65,1.2
78773,20.4,51.1,0.04,13.2,-2.0,-0.9,24.0,21.77,0.6,1.2
78782,20.8,54.5,0.06,13.2,-2.0,-1.4,43.0,20.61,0.4,1.2
78800,20.8,54.5,0.06,13.2,-2.0,-1.5,52.0,20.16,0.35,1.2
78811,23.3,48.9,0.08,13.2,-2.0,-0.1,5.0,24.79,0.6,1.2
78897,23.9,53.2,0.12,13.2,-2.0,-0.3,6.0,24.39,0.4,1.2
78902,23.9,53.2,0.12,13.2,-2.0,-0.3,6.0,24.39,0.4,1.2
78903,23.9,53.2,0.12,13.2,-2.0,-0.3,6.0,24.39,0.4,1.2
78929,21.3,60.3,0.05,18.3,-2.0,-1.0,26.0,21.81,0.4,1.2
78934,22.3,55.4,0.08,18.3,-2.0,-0.3,7.0,24.2,0.6,1.2
78942,22.3,55.4,0.08,18.3,-2.0,-0.3,7.0,24.2,0.6,1.2
78951,22.3,55.4,0.08,18.3,-2.0,-0.3,7.0,24.2,0.6,1.2
79001,21.7,60.3,0.07,18.3,-2.0,-0.4,8.0,23.95,0.65,1.2
79027,21.6,47.5,0.08,18.3,-2.0,-0.5,10.0,23.46,0.65,1.2
79032,21.6,47.5,0.08,18.3,-2.0,-0.5,10.0,23.46,0.65,1.2
79156,24.1,63.1,0.09,18.3,-2.0,-0.2,5.0,24.44,0.35,1.2
79162,24.1,63.1,0.09,18.3,-2.0,-0.2,5.0,24.44,0.35,1.2
79174,24.1,63.1,0.09,18.3,-2.0,-0.2,5.0,24.44,0.35,1.2
79268,28.4,58.3,0.1,18.3,-2.0,1.2,35.0,29.12,0.4,1.2
79275,28.4,58.3,0.1,18.3,-2.0,1.1,32.0,28.73,0.35,1.2
79333,27.2,60.8,0.09,18.3,-2.0,0.8,18.0,27.71,0.4,1.2
79376,23.3,47.0,0.07,22.1,-2.0,-0.1,5.0,24.63,0.6,1.2
79449,21.1,56.4,0.06,22.1,-2.0,-1.3,42.0,20.82,0.35,1.2
79452,23.4,60.9,0.08,22.1,-2.0,-0.6,12.0,22.91,0.35,1.2
79471,23.4,60.9,0.08,22.1,-2.0,0.0,5.0,25.15,0.6,1.2
79499,22.2,59.6,0.14,22.1,-2.0,-0.6,11.0,23.56,0.6,1.2
79576,21.3,48.4,0.08,0.7,-2.0,-0.4,9.0,23.65,0.75,1.2
79586,21.3,48.4,0.08,0.7,-2.0,-0.4,9.0,23.65,0.75,1.2
79615,18.6,49.8,0.14,0.7,-2.0,-1.3,38.0,20.95,0.75,1.2
79655,22.6,48.3,0.08,0.7,-2.0,-0.6,12.0,23.07,0.5,1.2
79664,22.6,48.3,0.08,0.7,-2.0,-0.6,12.0,23.07,0.5,1.2
79693,17.2,52.8,0.13,0.7,-2.0,-1.5,50.0,19.96,0.75,1.2
79694,17.2,52.8,0.13,0.7,-2.0,-1.5,50.0,19.96,0.75,1.2
79698,17.2,52.8,0.13,0.7,-2.0,-1.5,50.0,19.96,0.75,1.2
79702,17.2,52.8,0.13,0.7,-2.0,-1.5,50.0,19.96,0.75,1.2
79717,17.2,52.8,0.13,0.7,-2.0,-1.5,50.0,19.96,0.75,1.2
79741,19.2,54.8,0.09,0.7,-2.0,-0.9,24.0,21.65,0.75,1.2
79767,19.7,50.1,0.08,0.7,-2.0,-1.4,44.0,20.56,0.5,1.2
79816,20.5,49.1,0.07,7.3,-2.0,-0.6,13.0,22.98,0.75,1.2
79837,20.5,49.1,0.07,7.3,-2.0,-1.2,37.0,20.9,0.5,1.2
79905,21.6,50.3,0.07,7.3,-2.0,-0.3,7.0,24.15,0.75,1.2
79941,22.0,54.7,0.07,7.3,-2.0,-0.7,16.0,22.53,0.5,1.2
79958,20.9,49.3,0.11,7.3,-2.0,-0.5,9.0,23.82,0.75,1.2
79961,20.9,49.3,0.11,7.3,-2.0,-0.5,9.0,23.82,0.75,1.2
79989,22.3,47.0,0.05,7.3,-2.0,-0.1,5.0,24.87,0.75,1.2
80004,19.7,53.4,0.12,7.3,-2.0,-0.9,23.0,21.96,0.75,1.2
80010,19.7,53.4,0.12,7.3,-2.0,-1.6,55.0,19.86,0.5,1.2
80022,22.3,50.1,0.14,7.3,-2.0,-0.3,6.0,24.76,0.75,1.2
80082,22.5,52.2,0.07,7.3,-2.0,-0.6,13.0,22.85,0.5,1.2
80102,21.5,59.8,0.14,13.2,-2.0,-0.5,9.0,23.96,0.75,1.2
80108,21.5,59.8,0.14,13.2,-2.0,-0.5,9.0,23.96,0.75,1.2
80227,19.8,56.0,0.1,13.2,-2.0,-0.8,17.0,22.29,0.75,1.2
80238,19.8,56.0,0.1,13.2,-2.0,-1.4,47.0,20.21,0.5,1.2
80248,19.9,56.1,0.16,13.2,-2.0,-0.9,23.0,22.06,0.75,1.2
80249,19.9,56.1,0.16,13.2,-2.0,-0.9,23.0,22.06,0.75,1.2
80252,19.9,56.1,0.16,13.2,-2.0,-0.9,23.0,22.06,0.75,1.2
80253,19.9,56.1,0.16,13.2,-2.0,-0.9,23.0,22.06,0.75,1.2
80302,21.1,51.2,0.13,13.2,-2.0,-0.6,12.0,23.5,0.75,1.2
80307,21.1,51.2,0.13,13.2,-2.0,-0.6,12.0,23.5,0.75,1.2
80314,21.1,51.2,0.13,13.2,-2.0,-0.6,12.0,23.5,0.75,1.2
80315,21.1,51.2,0.13,13.2,-2.0,-1.2,34.0,21.4,0.5,1.2
80344,22.0,61.6,0.1,13.2,-2.0,-0.2,6.0,24.77,0.75,1.2
80350,22.0,61.6,0.1,13.2,-2.0,-0.7,15.0,22.57,0.5,1.2
80380,20.6,55.8,0.07,13.2,-2.0,-0.6,13.0,22.89,0.75,1.2
80389,20.6,55.8,0.07,13.2,-2.0,-0.6,13.0,22.89,0.75,1.2
80473,22.0,49.6,0.08,13.2,-2.0,-0.1,5.0,25.01,0.75,1.2
80535,21.5,55.4,0.06,13.2,-2.0,-0.4,8.0,23.82,0.75,1.2
80542,21.5,55.4,0.06,13.2,-2.0,-0.4,8.0,23.82,0.75,1.2
80548,21.5,55.4,0.06,13.2,-2.0,-0.9,24.0,21.68,0.5,1.2
80553,21.2,58.3,0.1,13.2,-2.0,-1.0,26.0,21.52,0.5,1.2
80554,21.2,58.3,0.1,13.2,-2.0,-1.0,26.0,21.52,0.5,1.2
80555,21.2,58.3,0.1,13.2,-2.0,-1.0,26.0,21.52,0.5,1.2
80560,21.2,58.3,0.1,13.2,-2.0,-1.0,26.0,21.52,0.5,1.2
80580,22.4,60.7,0.09,13.2,-2.0,-0.1,5.0,25.12,0.75,1.2
80660,25.3,55.2,0.13,13.2,-2.0,0.2,5.0,25.93,0.5,1.2
80686,24.3,55.5,0.1,13.2,-2.0,-0.1,5.0,24.85,0.5,1.2
80704,22.4,70.0,0.08,18.3,-2.0,-0.4,9.0,23.63,0.5,1.2
80713,22.4,70.0,0.08,18.3,-2.0,-0.4,9.0,23.63,0.5,1.2
80746,22.1,72.4,0.09,18.3,-2.0,-0.6,13.0,22.73,0.5,1.2
80749,22.1,72.4,0.09,18.3,-2.0,-0.6,13.0,22.73,0.5,1.2
80753,22.3,70.6,0.08,18.3,-2.0,-0.5,10.0,23.27,0.5,1.2
80757,22.3,70.6,0.08,18.3,-2.0,-0.5,10.0,23.27,0.5,1.2
80758,22.3,70.6,0.08,18.3,-2.0,-0.5,10.0,23.27,0.5,1.2
80812,22.1,81.3,0.1,18.3,-2.0,0.0,5.0,25.45,0.75,1.2
80834,23.0,79.4,0.18,18.3,-2.0,-0.6,12.0,23.32,0.5,1.2
80877,23.3,79.5,0.08,18.3,-2.0,0.3,7.0,26.87,0.75,1.2
80911,21.2,70.8,0.08,18.3,-2.0,-0.3,6.0,24.36,0.75,1.2
80914,21.2,70.8,0.08,18.3,-2.0,-0.3,6.0,24.36,0.75,1.2
80942,22.9,69.1,0.09,18.3,-2.0,0.1,5.0,25.89,0.75,1.2
80943,22.9,69.1,0.09,18.3,-2.0,0.1,5.0,25.89,0.75,1.2
80958,21.4,72.3,0.09,18.3,-2.0,-0.2,6.0,24.39,0.75,1.2
80962,21.4,72.3,0.09,18.3,-2.0,-0.8,19.0,22.04,0.5,1.2
80979,23.1,71.9,0.07,18.3,-2.0,-0.3,7.0,23.94,0.5,1.2
81018,22.9,67.7,0.08,18.3,-2.0,0.1,5.0,26.01,0.75,1.2
81034,20.0,69.6,0.09,21.1,-2.0,-1.3,41.0,20.42,0.5,1.2
81046,20.0,69.6,0.09,21.1,-2.0,-1.3,41.0,20.42,0.5,1.2
81054,20.0,69.6,0.09,21.1,-2.0,-0.7,14.0,22.57,0.75,1.2
81073,20.7,71.6,0.12,21.1,-2.0,-0.5,10.0,23.76,0.75,1.2
81082,21.6,71.6,0.05,21.1,-2.0,-0.7,17.0,22.32,0.5,1.2
81111,20.8,74.2,0.08,21.1,-2.0,-0.4,8.0,23.68,0.75,1.2
81121,20.8,74.2,0.08,21.1,-2.0,-1.0,27.0,21.39,0.5,1.2
81154,21.0,73.1,0.07,21.1,-2.0,-0.3,7.0,24.01,0.75,1.2
81155,21.0,73.1,0.07,21.1,-2.0,-0.3,7.0,24.01,0.75,1.2
81228,21.9,74.8,0.12,21.1,-2.0,-0.8,17.0,22.53,0.5,1.2
81267,24.5,40.1,0.25,22.8,-2.0,-2.3,89.0,20.28,0.23,1.0
81444,21.2,52.9,0.06,21.4,-2.0,-1.0,27.0,21.54,0.49,1.2
81502,21.6,31.9,0.07,17.6,-2.0,-1.4,45.0,21.65,0.66,1.0
81514,20.6,36.2,0.07,17.6,-2.0,-1.2,37.0,20.95,0.5,1.2
81517,20.8,32.4,0.11,17.6,-2.0,-0.8,19.0,22.42,0.69,1.2
81665,22.5,39.4,0.06,12.8,-2.0,0.2,5.0,29.57,2.2,0.8
81733,19.7,59.7,0.1,13.7,-2.0,-1.2,36.0,21.76,0.88,1.0
70524,23.8,48.5,0.03,30.9,-1.0,0.4,8.0,26.82,0.72,1.3
70525,23.7,49.1,0.13,30.9,-1.0,0.0,5.0,25.49,0.72,1.1
70528,23.6,50.2,0.06,30.9,-1.0,0.0,5.0,25.31,0.76,1.1
70536,23.8,51.0,0.11,30.9,-1.0,0.4,9.0,27.34,0.67,1.4
70538,24.1,52.9,0.08,30.9,-1.0,0.2,6.0,25.98,0.7,1.1
70547,23.6,52.5,0.08,30.9,-1.0,-0.1,5.0,24.79,0.68,1.1
70553,23.9,52.4,0.08,30.9,-1.0,-0.3,7.0,23.93,0.53,1.1
70582,24.1,50.6,0.04,30.9,-1.0,0.6,12.0,27.77,0.74,1.4
70585,23.4,51.9,0.11,30.9,-1.0,-0.1,5.0,25.27,0.74,1.1
70587,23.1,51.9,0.13,30.9,-1.0,0.4,8.0,27.5,0.74,1.4
70598,22.9,49.3,0.06,30.9,-1.0,0.2,6.0,26.15,0.7,1.4
70602,22.9,48.4,0.11,30.9,-1.0,0.3,6.0,26.51,0.7,1.4
70604,22.7,49.5,0.05,30.9,-1.0,-0.6,13.0,22.98,0.58,1.1
70609,22.8,49.6,0.04,30.9,-1.0,-0.6,12.0,23.19,0.57,1.1
70611,23.1,49.3,0.03,30.9,-1.0,-0.2,6.0,24.3,0.7,1.1
70616,23.0,50.1,0.1,30.9,-1.0,0.4,8.0,27.39,0.94,1.3
70617,22.7,51.3,0.14,30.9,-1.0,-0.8,18.0,23.31,0.7,1.0
70618,23.0,51.1,0.11,30.9,-1.0,-0.4,9.0,23.84,0.64,1.1
70620,23.1,50.7,0.11,30.9,-1.0,-0.1,5.0,24.73,0.58,1.3
70622,22.9,49.9,0.09,30.9,-1.0,-0.3,6.0,24.28,0.7,1.1
70627,23.2,49.7,0.11,30.9,-1.0,-0.4,9.0,23.78,0.64,1.1
70629,23.1,50.2,0.05,30.9,-1.0,-0.4,8.0,23.78,0.64,1.1
70630,23.2,49.8,0.09,30.9,-1.0,-0.2,5.0,24.68,0.7,1.1
70637,24.0,50.5,0.07,30.9,-1.0,0.1,5.0,25.42,0.57,1.3
70638,23.8,51.3,0.06,30.9,-1.0,0.8,19.0,29.38,0.7,1.7
70639,23.7,50.7,0.06,30.9,-1.0,0.8,18.0,29.11,0.7,1.7
70651,25.0,44.1,0.05,30.9,-1.0,0.0,5.0,24.8,0.63,1.2
70652,23.6,46.6,0.05,30.9,-1.0,0.3,8.0,26.8,0.84,1.3
70654,22.7,48.8,0.08,30.9,-1.0,-0.2,6.0,24.54,0.74,1.1
70658,23.0,49.1,0.05,30.9,-1.0,-0.1,5.0,24.81,0.57,1.3
70659,23.6,47.2,0.06,30.9,-1.0,0.1,5.0,25.75,0.82,1.1
70660,23.7,46.9,0.05,30.9,-1.0,0.3,6.0,26.35,0.91,1.1
70666,23.0,48.3,0.13,30.9,-1.0,0.0,5.0,25.87,0.74,1.3
70671,23.0,48.3,0.07,30.9,-1.0,-0.5,11.0,23.45,0.53,1.1
