Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,PMV,PPD,SET,Clo,Met
23.2,69,1.08,30.4,-2,-1.2,35,22.02,0.66,1
23.2,69,1.08,30.4,-2,-1.2,35,22.02,0.66,1
23.2,69,1.08,30.4,-2,-1.2,35,22.02,0.66,1
27,52,0.23,30.4,-2,1.2,34,29.51,0.97,1
27,52,0.23,30.4,-2,1,27,28.74,0.84,1
27,52,0.23,30.4,-2,1.2,34,29.51,0.97,1
27,52,0.23,30.4,-2,1.2,34,29.51,0.97,1
26.6,51,0.11,30.4,-2,0.8,18,28.27,0.84,1
26.6,51,0.11,30.4,-2,0.9,23,29.06,0.97,1
26.6,51,0.11,30.4,-2,0.9,23,29.06,0.97,1
26.6,51,0.11,30.4,-2,0.9,23,29.06,0.97,1
26.6,51,0.11,30.4,-2,0.8,18,28.27,0.84,1
27.1,63,0.01,30.4,-2,0.9,21,28.22,0.73,1
27.1,63,0.01,30.4,-2,0.7,16,27.58,0.64,1
27.6,45,0.62,30.4,-2,-1.6,58,18.49,0.7,1
29.3,53,0.13,30.4,-2,1.5,48,30.25,0.7,1
29.3,53,0.13,30.4,-2,1.4,48,30.19,0.69,1
31,47,0.9,30.4,-2,1.6,58,28.16,0.7,1
29.4,45,0.05,30.4,-2,1.4,46,29.27,0.64,1
29.4,45,0.05,30.4,-2,1.5,49,29.62,0.7,1
26.3,60,0.64,30.4,-2,0,5,24.82,0.62,1
26.3,60,0.64,30.4,-2,0,5,24.82,0.62,1
26.3,60,0.64,30.4,-2,0.1,5,25.27,0.68,1
26.7,56,0.07,30.4,-2,0.7,16,27.46,0.62,1
26.5,56,0.06,30.4,-2,0.8,17,27.72,0.68,1
26.6,50,0.47,30.4,-2,0,5,24.71,0.62,1
26.5,52,0.12,30.4,-2,0.4,8,26.79,0.62,1
26.5,56,0.06,30.4,-2,0.7,14,27.31,0.62,1
25.8,53,0.27,30.4,-2,-0.2,6,24.57,0.62,1
24,57,0.25,30.4,-2,-0.4,8,24.33,0.68,1
24,57,0.25,30.4,-2,-0.6,11,23.9,0.62,1
25.8,54,0.29,30.4,-2,-0.3,7,24.19,0.62,1
27,54,0.03,30.4,-2,0.9,23,28.52,0.65,1.2
27,54,0.03,30.4,-2,0.7,16,27.47,0.7,1
25,45,0.02,30.4,-2,0.3,7,26.35,0.73,1
25,45,0.02,30.4,-2,0.2,6,26.03,0.68,1
25,45,0.02,30.4,-2,0.2,6,26.1,0.69,1
28.2,44,0.03,30.4,-2,0.8,17,27.08,0.53,1
24.6,46,0.41,30.4,-2,-0.5,11,23.9,0.62,1
25.6,46,0.14,30.4,-2,0,5,25.5,0.62,1
25.4,46,0.05,30.4,-2,0,5,25.11,0.62,1
25.4,46,0.05,30.4,-2,0,5,25.11,0.62,1
25.5,46,0.01,30.4,-2,0.3,6,26.05,0.73,1
26.8,59,0.08,30.4,-2,0.7,15,27.36,0.63,1
27,45,0.16,30.4,-2,0.5,10,26.9,0.7,1
27,45,0.16,30.4,-2,0.7,15,27.77,0.84,1
26,47,0.08,30.4,-2,1.2,37,29.26,0.66,1
26,47,0.08,30.4,-2,1.3,40,29.48,0.7,1
25.6,53,0.03,30.4,-2,0.5,10,26.95,0.84,1
23,55,0.31,30.4,-2,-1.1,29,22.22,0.7,1
23,55,0.31,30.4,-2,-1,26,22.38,0.72,1
26.9,54,0.11,30.4,-2,0.6,13,27.51,0.72,1
26.1,46,0.04,30.4,-2,0.4,9,26.5,0.72,1
26.1,46,0.04,30.4,-2,0.4,9,26.5,0.72,1
26.1,46,0.04,30.4,-2,0.4,9,26.5,0.72,1
25.6,64,0.08,30.4,-2,0.4,9,26.73,0.72,1
25.6,64,0.08,30.4,-2,0.4,9,26.73,0.72,1
27.3,46,0.39,30.4,-2,0.6,13,26.61,0.64,1
28.9,55,0.17,30.4,-2,1.4,46,30.04,0.75,1
28.2,51,0.2,30.4,-2,1.3,39,29.84,0.97,1
26.4,48,0.17,30.4,-2,0.2,6,26.17,0.7,1
25.3,44,0.08,30.4,-2,0.2,6,26.01,0.7,1
25.8,44,0.18,30.4,-2,0.3,7,26.61,0.84,1
25.8,44,0.18,30.4,-2,0,5,25.33,0.64,1
22.4,54,0.45,30.4,-2,-0.5,10,24.08,0.97,1
22.4,54,0.45,30.4,-2,-0.8,18,23.16,0.84,1
22.4,54,0.45,30.4,-2,-0.8,18,23.16,0.84,1
25.5,47,0.07,30.4,-2,0.2,6,26.01,0.72,1
25.2,45,0.02,30.4,-2,0.2,6,25.93,0.75,1
25.2,45,0.02,30.4,-2,0.9,22,29.01,0.57,1.7
25.1,50,0.1,30.4,-2,0.1,5,25.55,0.7,1
26.8,49,0.09,30.4,-2,0.6,13,27.37,0.73,1
25.5,47,0.17,30.4,-2,0.4,8,26.99,0.97,1
25.5,47,0.17,30.4,-2,0.2,6,26.16,0.84,1
29.3,40,0.22,38.1,-2,1.6,56,30.43,0.99,1
28.9,38,0.16,38.1,-2,1.3,42,29.61,0.84,1
25.8,41,0.19,38.1,-2,0.4,9,27.01,0.84,1
27.7,42,0.21,38.1,-2,0.7,15,27.35,0.84,1
30.1,40,0.15,38.1,-2,1.3,42,29.23,0.7,1
30.1,40,0.15,38.1,-2,1.3,39,29,0.66,1
30.1,40,0.15,38.1,-2,1.4,44,29.51,0.75,1
22.5,44,0.17,38.1,-2,-0.2,6,25.61,0.72,1
27.9,36,0.28,38.1,-2,0.6,13,26.68,0.72,1
27.4,34,0.37,38.1,-2,0.2,6,25.4,0.64,1
27.4,34,0.37,38.1,-2,0.2,6,25.4,0.64,1
28.2,33,1.15,38.1,-2,0.1,5,24.54,0.64,1
28.2,33,1.15,38.1,-2,0.1,5,24.54,0.64,1
28.2,33,1.15,38.1,-2,0.3,6,24.93,0.7,1
29,49,0.16,38.1,-2,1.6,56,30.2,0.64,1
26.8,47,0.03,38.1,-2,0.7,15,27.22,0.64,1
26.8,47,0.03,38.1,-2,0.7,15,27.35,0.66,1
27.9,51,0.1,38.1,-2,0.9,24,28.42,0.7,1
27.1,45,0.13,38.1,-2,0.9,21,28.31,0.66,1
24.3,51,0.08,38.1,-2,0,5,25.53,0.64,1
26.8,48,0.11,38.1,-2,0.5,10,26.96,0.64,1
26.8,48,0.11,38.1,-2,0.5,10,26.96,0.64,1
28.4,48,0.11,38.1,-2,1.1,30,28.95,0.73,1
28.4,48,0.11,38.1,-2,1,28,28.65,0.68,1
28.4,48,0.11,38.1,-2,1.2,35,29.49,0.82,1
28.1,39,0.08,38.1,-2,1.1,30,28.83,0.84,1
28.1,39,0.08,38.1,-2,1.1,30,28.83,0.84,1
27.6,68,0.07,38.1,-2,1.1,32,29.16,0.66,1
26.2,41,0.02,38.1,-2,0.7,16,27.6,0.72,1
26.3,41,0.04,38.1,-2,0.5,9,26.57,0.66,1
23.5,42,0.09,38.1,-2,-0.4,9,24.03,0.64,1
27.5,36,0.33,38.1,-2,0.8,19,27.15,0.64,1
27.5,36,0.33,38.1,-2,1,25,27.79,0.75,1
28.8,40,0.01,38.1,-2,1.2,34,28.49,0.64,1
29,43,0.01,38.1,-2,1.2,36,28.91,0.75,1
29,43,0.01,38.1,-2,1.2,36,28.91,0.75,1
29.6,47,0.01,38.1,-2,1.5,52,30.01,0.75,1
25.6,43,0.21,38.1,-2,0.8,17,28.09,0.84,1
25.6,43,0.21,38.1,-2,0.5,9,26.92,0.64,1
25.6,43,0.21,38.1,-2,0.9,23,28.82,0.97,1
25.4,43,0.21,38.1,-2,0.7,16,28.22,0.97,1
26.4,44,0.25,38.1,-2,0.3,6,26,0.72,1
26.4,44,0.25,38.1,-2,0.5,9,26.76,0.84,1
26.4,44,0.25,38.1,-2,0.5,9,26.76,0.84,1
26.4,44,0.25,38.1,-2,0.3,7,26.19,0.75,1
22.7,46,1.17,38.1,-2,-1.6,58,20.79,0.7,1
25.1,40,0.07,38.1,-2,-0.4,9,23.55,0.7,1
25.1,40,0.07,38.1,-2,-0.2,6,24.52,0.84,1
27,52,0.07,38.1,-2,0.6,12,26.85,0.66,1
25.1,39,0.21,38.1,-2,0.3,7,26.64,0.9,1
25.1,39,0.21,38.1,-2,0,5,25.55,0.72,1
25.1,39,0.21,38.1,-2,0.7,16,27.49,0.51,1.7
26.5,59,0.12,38.1,-2,0.4,9,26.98,0.64,1
25,61,0.12,38.1,-2,0.3,6,26.64,0.75,1
25,61,0.12,38.1,-2,0.1,5,25.85,0.64,1
26.5,60,0.18,38.1,-2,0.2,6,26.17,0.64,1
26.5,38,0.1,38.1,-2,0.7,14,27.5,0.75,1
27.3,43,0.16,38.1,-2,0.6,12,27.23,0.7,1
22,48,0.11,38.1,-2,-0.8,20,22.95,0.7,1
26,48,0.04,38.1,-2,0.4,9,26.51,0.66,1
27.3,49,0.16,38.1,-2,0.6,13,27.34,0.64,1
23.5,52,0.11,38.1,-2,0.2,6,26.47,0.97,1
24,51,0.81,38.1,-2,-0.6,12,23.54,0.84,1
24,51,0.81,38.1,-2,-0.6,12,23.54,0.84,1
25.1,40,0.07,38.1,-2,-0.2,6,24.52,0.84,1
26.7,61,0.13,38.1,-2,1.1,29,29.5,0.75,1
26.5,50,0.15,38.1,-2,0.4,8,26.84,0.72,1
25.3,42,0.11,38.1,-2,0.3,7,26.61,0.64,1
26.6,46,0.1,38.1,-2,0.7,16,27.71,0.7,1
24.3,45,0.09,38.1,-2,0.1,5,25.85,0.64,1
24.1,51,0.03,38.1,-2,-0.2,6,24.54,0.64,1
25,55,0.03,38.1,-2,0.1,5,25.69,0.64,1
25,55,0.03,38.1,-2,0.1,5,25.69,0.64,1
29.8,61,1.15,38.1,-2,1.4,47,28.52,0.84,1
28.8,49,1.08,38.1,-2,0.6,12,25.57,0.64,1
27.5,55,0.18,38.1,-2,0.9,24,28.56,0.75,1
27.3,54,0.16,38.1,-2,1.1,29,29.32,0.84,1
27.3,54,0.16,38.1,-2,0.9,23,28.57,0.72,1
25.7,50,0.11,38.1,-2,0.5,10,27.32,0.84,1
25.9,51,0.12,38.1,-2,0.7,14,28.16,0.97,1
25.9,51,0.12,38.1,-2,0.5,10,27.34,0.84,1
25.9,51,0.12,38.1,-2,0.7,14,28.16,0.97,1
26.2,47,0.13,38.1,-2,0.8,19,28.59,0.84,1
26.4,48,0.08,38.1,-2,0.8,17,27.64,0.7,1
26.4,48,0.08,38.1,-2,0.7,15,27.39,0.66,1
29.2,55,0.08,38.1,-2,1.5,50,30.17,0.7,1
27.5,44,0.05,38.1,-2,0.7,16,27.22,0.64,1
27.5,44,0.05,38.1,-2,0.7,17,27.35,0.66,1
27.5,44,0.05,38.1,-2,1,25,28.44,0.84,1
25.7,41,0.08,38.1,-2,0.2,6,25.73,0.64,1
25.7,41,0.08,38.1,-2,0.3,7,26.24,0.72,1
25.7,41,0.08,38.1,-2,0.5,10,26.98,0.84,1
26.3,60,0.07,38.1,-2,0.6,13,27.26,0.66,1
25.5,65,0.09,38.1,-2,0.3,7,26.41,0.64,1
25.5,61,0.1,38.1,-2,0.3,7,26.61,0.72,1
26.1,60,0.11,38.1,-2,0.5,10,27.25,0.72,1
26.1,60,0.11,38.1,-2,0.5,10,27.11,0.7,1
26.6,45,0.27,29.7,-2,0.1,5,25.32,0.7,1
26.6,45,0.27,29.7,-2,0.1,5,25.32,0.7,1
25.4,42,0.17,29.7,-2,-0.2,6,24.88,0.7,1
25.2,50,0.09,29.7,-2,0.3,7,26.59,0.84,1
27.6,48,0.15,29.7,-2,1,25,28.69,0.72,1
25.1,43,0.1,29.7,-2,0.3,7,26.44,0.68,1
26,49,0.13,29.7,-2,0.4,8,26.8,0.66,1
26,54,0.1,29.7,-2,0.5,10,26.96,0.68,1
26,54,0.1,29.7,-2,0.5,11,27.23,0.72,1
26,54,0.1,29.7,-2,0.4,8,26.62,0.63,1
26,54,0.1,29.7,-2,0.5,10,26.96,0.68,1
26,50,0.11,29.7,-2,0.3,7,26.42,0.62,1
27,56,0.11,29.7,-2,0.4,9,26.66,0.62,1
26.5,54,0.09,29.7,-2,0.4,8,26.48,0.68,1
25.9,50,0.09,29.7,-2,0.2,6,25.84,0.62,1
27.3,52,0.32,29.7,-2,0.5,10,26.35,0.68,1
24.5,50,0.09,29.7,-2,0.4,9,27.12,0.95,1
24.5,50,0.09,29.7,-2,0.1,5,25.62,0.72,1
24.5,50,0.09,29.7,-2,0.1,5,25.62,0.72,1
24.8,50,0.11,29.7,-2,0.1,5,25.73,0.72,1
26.1,46,0.16,29.7,-2,0.2,6,26.29,0.72,1
26.1,46,0.16,29.7,-2,0.2,6,26.29,0.72,1
26.1,46,0.16,29.7,-2,0.2,6,26.29,0.72,1
26.1,46,0.16,29.7,-2,0.6,12,27.73,0.95,1
25,43,0.07,29.7,-2,0.3,8,26.28,0.63,1.2
25,43,0.07,29.7,-2,0.1,5,25.6,0.72,1
24.3,45,0.04,29.7,-2,-0.2,6,24.71,0.66,1
27.5,44,0.18,29.7,-2,0.7,15,27.49,0.72,1
27.5,44,0.18,29.7,-2,0.7,15,27.49,0.72,1
27.1,41,0.15,29.7,-2,0.4,9,26.71,0.62,1
27.1,41,0.15,29.7,-2,0.6,12,27.32,0.72,1
26.9,40,0.15,29.7,-2,0.4,8,26.6,0.62,1
26.9,40,0.15,29.7,-2,0.5,11,27.21,0.72,1
26.9,40,0.15,29.7,-2,0.4,8,26.6,0.62,1
27.3,68,0.22,29.7,-2,0.6,12,27.2,0.62,1
27.3,68,0.22,29.7,-2,0.6,12,27.2,0.62,1
26.6,65,0.18,29.7,-2,0.4,9,26.91,0.62,1
26.3,71,0.1,29.7,-2,0.5,11,27.29,0.62,1
26.3,71,0.1,29.7,-2,0.5,11,27.29,0.62,1
26.3,71,0.1,29.7,-2,0.7,15,28.05,0.72,1
26.3,71,0.34,29.7,-2,0.1,5,25.55,0.62,1
24.2,38.7,0.09,32.8,-1,-0.4,8,23.73,0.57,1.1
23.8,43.6,0.35,32.8,-1,0.3,7,25.38,0.57,1.7
23.8,42.3,0.36,32.8,-1,-1.1,32,22.2,0.61,1
23.8,42.8,0.32,32.8,-1,-1.1,32,22.27,0.57,1
23.8,44.3,0.33,32.8,-1,0.4,8,25.62,0.57,1.7
24,44.1,0.23,31.7,-1,-0.8,19,22.76,0.61,1.1
23.4,43.9,0.15,31.7,-1,-0.8,18,23,0.61,1.1
26.9,33,0.08,32.8,-1,-0.2,6,24.34,0.57,1
22.6,37.6,0.1,28.9,-1,-1,28,22.35,0.57,1
25,36,0.12,32.8,-1,-0.4,9,24.24,0.57,1
24.7,42.2,0.1,32.8,-1,0.8,17,28.42,0.57,1.7
24.6,38.4,0.14,32.8,-1,0.2,6,26.02,0.57,1.4
24,41,0.14,28.9,-1,-0.6,13,23.31,0.61,1.1
25.2,64,0.1,30.8,-1,0.1,5,25.65,0.64,1
25.2,64,0.1,30.8,-1,0.2,6,26.26,0.72,1
26.9,63,0.02,30.8,-1,0.7,17,27.7,0.66,1
26.9,59,0.21,30.8,-1,0.4,9,26.72,0.72,1
26.9,59,0.21,30.8,-1,0.8,17,28.09,0.72,1.2
25.8,60,0.37,30.8,-1,-0.8,19,22.35,0.62,1
26.4,60,0.22,30.8,-1,0.3,6,26.11,0.72,1
26.4,60,0.22,30.8,-1,0.2,6,25.96,0.7,1
24.7,58,0.14,30.8,-1,-0.1,5,25.58,0.72,1
24.7,58,0.14,30.8,-1,-0.1,5,25.58,0.72,1
26.8,48,0.01,30.8,-1,0.5,11,26.71,0.64,1
26.8,48,0.01,30.8,-1,0.8,19,27.99,0.84,1
26.8,48,0.01,30.8,-1,0.8,19,27.99,0.84,1
26.3,49,0.25,30.8,-1,0.1,5,25.35,0.75,1
26.3,49,0.25,30.8,-1,0.3,7,26.36,0.9,1
25.2,43,0.02,30.8,-1,0.1,5,25.72,0.75,1
25.2,43,0.02,30.8,-1,0.4,8,26.67,0.9,1
25.2,43,0.02,30.8,-1,0.1,5,25.39,0.7,1
30.2,60,0.51,30.8,-1,1.5,50,28.87,0.72,1
26.7,67,0.17,30.8,-1,0.9,22,29.22,0.97,1
26.7,67,0.17,30.8,-1,0.4,8,26.84,0.64,1
26.3,51,0.11,30.8,-1,0.3,7,26.47,0.68,1
26.3,51,0.11,30.8,-1,0.5,11,27.4,0.82,1
26.3,51,0.11,30.8,-1,0.4,8,26.81,0.73,1
26.3,51,0.11,30.8,-1,0.2,6,26.06,0.62,1
26.3,51,0.11,30.8,-1,0.2,6,26.06,0.62,1
26.3,51,0.11,30.8,-1,0.2,6,26.06,0.62,1
26.3,51,0.11,30.8,-1,0.3,7,26.47,0.68,1
26.3,51,0.11,30.8,-1,0.2,6,26.06,0.62,1
26.3,51,0.11,30.8,-1,0.2,6,26.06,0.62,1
26.2,56,0.6,30.8,-1,-0.4,8,23.78,0.62,1
27.9,55,0.22,30.8,-1,0.8,20,27.86,0.75,1
27.9,55,0.22,30.8,-1,0.7,14,27.11,0.64,1
27.9,55,0.22,30.8,-1,0.7,15,27.25,0.66,1
27.9,55,0.22,30.8,-1,1.5,52,31.37,0.51,2
27.9,55,0.22,30.8,-1,1.6,59,32.98,0.69,2
26.8,53,0.03,30.8,-1,0.7,15,27.32,0.68,1
27.1,55,0.11,30.8,-1,0.7,15,27.74,0.68,1
25.8,66,0.16,30.8,-1,0.2,6,26.24,0.62,1
25.8,66,0.16,30.8,-1,0.2,6,26.24,0.62,1
24.6,46,0.02,30.8,-1,0,5,25.26,0.62,1
24.6,46,0.02,30.8,-1,0,5,25.4,0.64,1
24.6,46,0.02,30.8,-1,0,5,25.4,0.64,1
28.8,59,1.3,30.8,-1,0.6,14,25.84,0.72,1
28.8,59,1.3,30.8,-1,0.6,14,25.84,0.72,1
29.2,59,1.08,30.8,-1,1.1,32,27.63,0.84,1
26,54,0.12,30.8,-1,0.4,8,26.89,0.72,1
24.9,51,0.01,30.8,-1,0,5,25.09,0.66,1
24.8,53,0.01,30.8,-1,-0.1,5,24.96,0.64,1
25.1,50,0.22,30.8,-1,0,5,25.62,0.7,1
25.1,50,0.22,30.8,-1,-0.1,5,25.35,0.66,1
25.1,50,0.22,30.8,-1,-0.1,5,25.21,0.64,1
25.1,50,0.22,30.8,-1,0,5,25.62,0.7,1
25.1,50,0.22,30.8,-1,0.5,10,27.35,0.97,1
25.2,50,0.09,30.8,-1,0.6,13,27.8,0.95,1
25.7,50,0.02,30.8,-1,0.3,7,26.16,0.64,1
25.7,50,0.02,30.8,-1,0.4,9,26.57,0.7,1
25.7,50,0.02,30.8,-1,0.4,9,26.57,0.7,1
25.6,50,0.54,30.8,-1,-0.3,7,24.1,0.72,1
27.8,46,0.02,30.8,-1,1,26,28.29,0.72,1
27.8,46,0.02,30.8,-1,1,26,28.29,0.72,1
26.9,39,0.04,30.8,-1,0.6,12,26.91,0.7,1
28,48,0.24,30.8,-1,0.8,18,27.38,0.7,1
28.6,46,0.01,30.8,-1,1.1,29,28.27,0.64,1
25.3,50,0.04,30.4,-1,0.2,6,26.01,0.75,1
25.3,50,0.04,30.4,-1,0.2,6,25.81,0.72,1
27.1,42,0.08,30.4,-1,0.6,12,26.93,0.72,1
27,43,0.14,30.4,-1,0.7,15,27.76,0.64,1
27,43,0.14,30.4,-1,0.8,18,28.12,0.7,1
27,43,0.14,30.4,-1,0.8,19,28.23,0.72,1
20.8,59,0.05,30.4,-1,-0.2,6,25.59,0.64,1
20.8,59,0.05,30.4,-1,-0.1,5,26.11,0.72,1
26.9,60,0.08,30.4,-1,0.1,5,25.26,0.64,1
27.2,69,0.03,30.4,-1,0.9,21,28.27,0.64,1
27.2,69,0.03,30.4,-1,1,25,28.71,0.7,1
25.8,45,0,30.4,-1,0.2,6,25.62,0.75,1
25.8,45,0,30.4,-1,0.2,6,25.62,0.75,1
24.2,48,0,30.4,-1,-0.1,5,25.14,0.79,1
24.2,48,0,30.4,-1,0.2,6,26.32,0.97,1
26.2,41,0.15,30.4,-1,-0.3,6,24.49,0.7,1
28.6,44,0.21,30.4,-1,0.6,13,26.9,0.75,1
26.2,53,0.08,30.4,-1,0.3,7,26.03,0.65,1
26.2,53,0.08,30.4,-1,0.3,7,25.96,0.64,1
23.6,50,0.12,30.4,-1,-0.4,8,24.44,0.64,1
28.3,49,0.11,30.4,-1,0.9,21,28.01,0.64,1
28.3,49,0.11,30.4,-1,0.9,21,28.01,0.64,1
28.3,49,0.11,30.4,-1,0.9,21,28.01,0.64,1
26.9,47,0.22,30.4,-1,0.6,11,26.98,0.73,1
26.9,47,0.22,30.4,-1,0.5,10,26.65,0.68,1
26.9,47,0.22,30.4,-1,0.5,10,26.65,0.68,1
26.9,47,0.22,30.4,-1,0.5,10,26.65,0.68,1
26.9,47,0.22,30.4,-1,0.4,8,26.26,0.62,1
26.9,47,0.22,30.4,-1,0.4,8,26.33,0.63,1
24.9,47,0.1,30.4,-1,0.4,9,26.92,0.75,1
24.9,47,0.1,30.4,-1,0.7,15,28.24,0.97,1
24.9,47,0.1,30.4,-1,0.2,6,26.22,0.64,1
24.9,47,0.1,30.4,-1,0.4,8,26.73,0.72,1
28,47,0.44,30.4,-1,0.8,20,27.01,0.66,1
28,47,0.44,30.4,-1,1.2,37,28.95,0.97,1
28,47,0.44,30.4,-1,0.9,23,27.4,0.72,1
23.2,69,1.08,30.4,-1,-0.9,21,22.78,0.75,1
23.2,69,1.08,30.4,-1,-0.6,13,23.5,0.84,1
23.2,69,1.08,30.4,-1,-0.6,13,23.5,0.84,1
23.2,69,1.08,30.4,-1,-1,25,22.53,0.72,1
23.2,69,1.08,30.4,-1,-1,25,22.53,0.72,1
23.2,69,1.08,30.4,-1,-1,25,22.53,0.72,1
23.2,69,1.08,30.4,-1,-1,25,22.53,0.72,1
27,52,0.23,30.4,-1,1.2,34,29.51,0.97,1
27,52,0.23,30.4,-1,0.9,21,27.99,0.72,1
27,52,0.23,30.4,-1,0.8,17,27.61,0.66,1
27,52,0.23,30.4,-1,0.9,21,27.99,0.72,1
27.4,56,0.44,30.4,-1,0.3,7,25.51,0.7,1
27.7,55,0.03,30.4,-1,1.1,29,28.95,0.84,1
27.7,55,0.03,30.4,-1,-0.2,6,27.41,0.84,0.7
27.7,55,0.03,30.4,-1,1.6,58,33.34,0.6,2
29,56,0.02,30.4,-1,1.4,47,29.88,0.7,1
27.6,45,0.62,30.4,-1,-1.7,62,18.29,0.68,1
27.6,45,0.62,30.4,-1,-1.5,54,18.68,0.72,1
27.1,46,0.01,30.4,-1,0.7,14,27.25,0.72,1
27.1,46,0.01,30.4,-1,0.7,14,27.25,0.72,1
29.3,53,0.13,30.4,-1,1.4,45,29.88,0.64,1
29.3,53,0.13,30.4,-1,1.5,50,30.36,0.72,1
31,47,0.9,30.4,-1,1.7,59,28.29,0.72,1
31,47,0.9,30.4,-1,1.6,58,28.16,0.7,1
31,47,0.9,30.4,-1,1.7,59,28.29,0.72,1
29.4,48,0.95,30.4,-1,1.2,34,27.16,0.68,1
29.4,48,0.95,30.4,-1,1.5,52,29.08,0.97,1
28.3,53,0.01,30.4,-1,1.3,42,29.3,0.62,1
28.3,53,0.01,30.4,-1,1.5,48,29.96,0.73,1
28.3,53,0.01,30.4,-1,1.4,46,29.66,0.68,1
27.1,26,0.06,30.4,-1,0.7,14,26.98,0.62,1
27.1,26,0.06,30.4,-1,0.7,14,26.98,0.62,1
