Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation
27.1,53,0.15,25.9,-2
27.4,51.8,0.11,25.9,-2
18.3,66.1,0,25.9,-2
18.3,66.1,0,25.9,-2
18.8,66.9,0,25.9,-2
21.3,65.7,0.03,25.9,-2
21.3,65.2,0.08,25.9,-2
19.3,61.4,0.03,25.9,-2
17.8,53.7,0,25.9,-2
18.3,56.5,0.04,25.9,-2
18.3,51.3,0.04,25.9,-2
18.8,55.6,0.02,25.9,-2
18.3,56.5,0,25.9,-2
18.3,56.5,0,25.9,-2
18.3,54.6,0.04,25.9,-2
16.2,53.7,0.74,25.9,-2
16.2,71.6,0.03,25.9,-2
15.7,73.4,0.01,25.9,-2
16.2,71.2,0.01,25.9,-2
15.7,68.9,0.02,25.9,-2
15.7,67.7,0.01,25.9,-2
13.4,65.2,0.46,25.9,-2
12.2,72.7,0.57,25.9,-2
11,73.8,0.43,25.9,-2
10.4,74.9,0.49,25.9,-2
7,78.7,0.43,25.9,-2
6.2,79.7,0.22,13,-2
10.4,73.4,0.65,13,-2
18.8,40,1.2,13,-2
24,14.8,1.13,13,-2
27.4,11.6,0.61,13,-2
14.6,64.4,0,13,-2
14.6,67.7,0,13,-2
14.6,68.1,0,13,-2
14.6,67.7,0,13,-2
14.6,69.3,0,13,-2
14.6,69.7,0,13,-2
14.6,70.8,0,13,-2
15.7,72,0.04,13,-2
15.1,74.2,0.08,13,-2
15.7,74.9,0.16,13,-2
15.7,73.8,0.22,13,-2
15.1,71.6,0.12,13,-2
14.6,73.1,0.1,13,-2
15.1,63.1,0.18,13,-2
16.2,67.7,0.34,13,-2
15.1,66.5,0.57,13,-2
16.8,58.3,0.15,13,-2
25,17.9,0.08,13,-2
25,14.2,0.1,13,-2
26.1,14.2,0.24,13,-2
28.7,38.9,0.27,13,-2
24,21,0.11,13,-2
15.1,53.2,0.18,13,-2
21.3,24.1,0.49,13,-2
20.8,12.2,0.18,13,-2
13.4,12.9,0.36,13,-2
11,58.3,0.02,13,-2
18.3,29.4,0.07,13,-2
12.8,57.4,0.18,13,-2
12.8,55.1,0.18,13,-2
14,36.7,0.18,13,-2
21.7,60.1,0.03,13,-2
20.4,65.7,0.08,13,-2
20.6,61.8,0.06,13,-2
20.8,69.3,0.56,13,-2
24.1,62.3,0.24,13,-2
24.2,65.2,0.22,22,-2
22.7,71.6,0.22,22,-2
20.3,75.2,0.19,22,-2
19.6,73.8,0.24,22,-2
17.8,51.3,0.09,22,-2
18.3,34,0.02,22,-2
18.8,34.5,0.01,22,-2
17.3,28.8,0,22,-2
18.8,36.2,0.03,22,-2
18.3,37.8,0.02,12,-2
18.3,44.8,0.02,12,-2
10.4,51.8,0.06,12,-2
11,50.3,0.01,12,-2
11.6,49.8,0.01,12,-2
12.2,47.8,0.01,13,-2
12.8,47.3,0.01,13,-2
12.8,47.8,0,13,-2
12.8,48.3,0,13,-2
12.8,48.3,0.01,13,-2
12.8,48.8,0.01,13,-2
12.2,49.3,0.03,13,-2
11,51.3,0.04,13,-2
11,51.8,0.01,13,-2
11,51.8,0.01,13,-2
11,51.3,0,13,-2
11.6,50.3,0.01,13,-2
11.6,50.8,0.01,13,-2
11.6,51.3,0.01,13,-2
11.6,52.2,0.03,13,-2
8.4,56,0.05,13,-2
9.7,54.6,0.01,13,-2
11,52.7,0.01,27,-2
11,51.8,0,27,-2
11.6,51.3,0.01,13,-2
12.2,50.3,0.03,13,-2
12.2,50.3,0.01,13,-2
12.2,50.8,0.03,13,-2
12.2,51.3,0.01,13,-2
14.6,48.3,0,13,-2
16.2,43.7,0.03,13,-2
16.8,43.7,0.06,13,-2
17.8,38.4,1.16,13,-2
18.3,36.7,1.23,13,-2
18.3,30.5,0.8,13,-2
17.8,37.3,1.16,13,-2
15.7,32.8,0.16,4,-2
18.3,34,0.05,4,-2
18.8,34,0.07,4,-2
17.8,26.5,0.07,4,-2
18.3,37.3,0.05,4,-2
10.4,50.8,0.08,4,-2
10.4,50.8,0.04,4,-2
11,50.3,0.03,4,-2
11.6,49.3,0,4,-2
12.8,48.8,0.02,4,-2
12.8,48.8,0.01,4,-2
12.8,48.8,0.02,4,-2
11,51.3,0.06,4,-2
11,50.8,0.06,4,-2
11.6,51.3,0.05,4,-2
11,50.3,0,4,-2
11.6,50.8,0.02,4,-2
11.6,50.8,0.02,4,-2
8.4,56,0.08,4,-2
8.4,55.1,0.04,4,-2
9,55.6,0.06,4,-2
11,52.7,0,4,-2
9.7,55.6,0.02,4,-2
11,51.3,0.11,4,-2
14,31.7,0.18,4,-2
12.8,53.2,0.06,4,-2
12.2,57.9,0.03,4,-2
12.2,59.2,0.03,4,-2
10.4,70.8,0.65,4,-2
10.4,68.1,0.47,4,-2
11.6,66.9,0.87,4,-2
12.2,61.4,0.56,4,-2
12.2,60.1,0.4,4,-2
12.8,59.2,0.87,4,-2
7.7,63.1,1.4,4,-2
7.7,64.4,0.16,4,-2
7.7,64,0.16,4,-2
11.6,57.9,0.16,4,-2
12.2,56,0.16,4,-2
17.8,31.7,0.03,4,-2
18.3,43.2,0.02,4,-2
18.3,46.8,0.02,4,-2
15.1,49.3,0,4,-2
15.1,51.3,0.01,4,-2
13.4,51.8,0.03,4,-2
10.4,54.2,0.03,4,-2
10.4,54.2,0.03,4,-2
11,53.7,0.01,4,-2
11.6,53.2,0.01,4,-2
12.2,51.8,0,4,-2
12.8,51.3,0,4,-2
11,53.2,0.02,4,-2
11,54.6,0.02,4,-2
11,54.6,0.02,4,-2
10.4,53.7,0.01,4,-2
11.6,54.2,0.01,4,-2
11.6,54.2,0.01,4,-2
8.4,58.8,0.06,4,-2
8.4,58.8,0.09,4,-2
9,58.8,0.05,-2,-2
9,57.9,0,-2,-2
11,56.5,0,-2,-2
11,56,0,-2,-2
11.6,55.1,0,-2,-2
12.2,54.2,0,-2,-2
13.4,45.8,0.13,-2,-2
14,39.5,0.05,-2,-2
12.8,63.1,0.03,-2,-2
12.8,63.6,0.06,-2,-2
11.6,61.4,0,-2,-2
11.6,62.7,0.01,-2,-2
12.2,69.7,0.37,-2,-2
11.6,70.4,0.65,-2,-2
12.2,63.1,0.61,-2,-2
11.6,62.7,0.29,-2,-2
11.6,63.1,0.79,-2,-2
9,67.3,0.16,-2,-2
8.4,67.7,0.16,-2,-2
8.4,67.3,0.16,-2,-2
10.4,56.5,0.05,-2,-2
11.6,53.2,0.07,-2,-2
8.4,66.5,0.16,-2,-2
12.2,63.1,0.16,-2,-2
11.6,61.4,0.16,-2,-2
12.2,60.5,0.16,-2,-2
12.2,59.7,0.16,-2,-2
11.6,59.7,0.16,-2,-2
9,64.4,0.16,-2,-2
20.3,41.6,0,-2,-2
21.7,38.4,0.02,-2,-2
11.6,58.3,0.02,-2,-2
11.6,61.8,0.01,-2,-2
11.6,62.3,0.01,-2,-2
11.6,58.3,0.01,-2,-2
12.2,60.1,0.02,-2,-2
11.6,72.7,0.01,-2,-2
11.6,73.8,0,-2,-2
12.2,73.4,0.02,-2,-2
12.2,73.4,0.02,-2,-2
11.6,70.1,0.02,-2,-2
11.6,70.8,0.01,-2,-2
12.2,67.7,0,-2,-2
12.2,69.7,0.02,-2,-2
12.2,67.7,0.02,-2,-2
11.6,72,0.25,-2,-2
12.2,70.1,0.23,-2,-2
12.8,64,0,-2,-2
12.8,59.2,0.02,-2,-2
12.8,56.9,0.04,-2,-2
12.8,59.2,0.04,-2,-2
12.8,61,0.04,-2,-2
12.8,59.7,0.02,-2,-2
12.8,61.4,0.02,-2,-2
13.4,56,0.04,-2,-2
12.8,55.1,0.02,-2,-2
13.4,59.2,0.07,26,-2
12.8,66.5,0.42,26,-2
12.8,66.1,0.42,26,-2
12.8,64.4,0.42,26,-2
13.4,67.3,0.55,26,-2
13.4,65.2,0.38,26,-2
13.4,64.4,0.55,26,-2
13.4,66.5,0.55,26,-2
11.6,60.1,1.22,26,-2
11,59.2,0.77,26,-2
12.2,57.9,1.41,26,-2
12.2,56.9,1.41,26,-2
12.2,59.7,0.16,26,-2
12.2,58.8,1.41,26,-2
12.2,61.8,1.41,26,-2
12.8,60.5,0.16,26,-2
12.8,59.7,0.16,26,-2
12.2,61.4,0.16,26,-2
11.6,53.7,0.16,26,-2
11.6,50.3,0.16,26,-2
11.6,50.3,0.16,26,-2
11.6,44.8,0.16,26,-2
12.2,44.8,0.16,26,-2
19.3,37.3,0,26,-2
20.3,31.1,0.02,26,-2
21.7,29.4,0,26,-2
22.7,28.8,0,26,-2
21.7,29.4,0.01,26,-2
21.3,33.4,0.02,26,-2
13.4,52.2,0.02,26,-2
13.4,52.7,0.02,26,-2
13.4,56,0,26,-2
13.4,52.7,0,26,-2
13.4,55.6,0,26,-2
23,41.8,0.11,26,-1
23.5,41.6,0.09,26,-1
23.7,41.6,0.08,26,-1
23.1,42.6,0.07,26,-1
23.8,43,0.09,26,-1
23.8,42.3,0.08,26,-1
23.1,44.2,0.08,26,-1
24.8,38.4,0.08,26,-1
24.3,43.3,0.12,26,-1
24.8,42,0.08,26,-1
25.9,33.4,0.1,26,-1
23.8,40.5,0.09,26,-1
24.1,40.5,0.06,26,-1
23.1,42.3,0.08,26,-1
23,41.5,0.07,26,-1
23.1,41.6,0.08,26,-1
22.9,42.2,0.08,26,-1
23.3,41.5,0.08,26,-1
22.7,47.7,0.14,26,-1
21.9,50.4,0.11,26,-1
22.8,47,0.1,26,-1
23.5,42.7,0.07,26,-1
23.2,42.8,0.08,26,-1
23.7,41.5,0.11,26,-1
23.8,27.6,0.1,26,-1
22.9,30.9,0.09,26,-1
23,31.5,0.15,26,-1
21.9,12.5,0.11,26,-1
22.9,10,0.11,26,-1
22.9,11.3,0.06,26,-1
22.8,11.7,0.09,26,-1
22.8,10.7,0.12,26,-1
22.6,11,0.1,26,-1
22.7,11.2,0.11,26,-1
22.7,11.5,0.12,26,-1
22.5,16.8,0.11,26,-1
23.1,13.6,0.09,26,-1
23,18.2,0.14,26,-1
21.7,17.4,0.24,26,-1
24.3,19,0.08,26,-1
23.2,19.3,0.1,26,-1
21.1,19.7,0.08,26,-1
23.3,16.6,0.09,26,-1
22.6,26.5,0.08,26,-1
23.2,24,0.09,26,-1
22.8,24.2,0.11,26,-1
22.9,22.6,0.08,26,-1
22,23.8,0.09,26,-1
23.7,21.5,0.07,26,-1
22.8,23.5,0.09,26,-1
23.8,24.6,0.1,26,-1
23,22.2,0.07,26,-1
22.6,21.4,0.06,26,-1
23,18.7,0.06,26,-1
22.3,19.2,0.06,26,-1
22.9,19.4,0.05,26,-1
22.9,18.7,0.06,26,-1
23.1,10.9,0.12,26,-1
22,12.1,0.08,26,-1
23.7,10.4,0.07,26,-1
22.1,15.6,0.1,26,-1
23.3,13.3,0.1,26,-1
23.1,10.7,0.09,26,-1
22.4,15.3,0.07,26,-1
23.3,13.8,0.1,26,-1
24.1,13.5,0.1,26,-1
22.8,19.3,0.06,26,-1
23.4,11.4,0.1,26,-1
22.4,10.9,0.08,26,-1
21.9,11.2,0.09,26,-1
23.4,27.6,0.09,26,-1
22.1,29.3,0.09,26,-1
22.6,26.9,0.1,26,-1
22.2,29.6,0.06,26,-1
23.4,27.4,0.04,26,-1
22.1,29.9,0.09,26,-1
23.7,27.5,0.05,26,-1
23.8,29.5,0.12,25.9,-1
21.9,31.4,0.08,25.9,-1
23.8,28.2,0.07,25.9,-1
23,23.5,0.06,25.9,-1
21.6,25.5,0.15,25.9,-1
21,25.9,0.12,25.9,-1
22.4,23.9,0.09,25.9,-1
22.3,23.5,0.1,25.9,-1
23.2,21.5,0.08,25.9,-1
22.8,24.5,0.06,25.9,-1
22.7,23.1,0.05,25.9,-1
22.6,22.2,0.06,25.9,-1
23.4,21.3,0.06,25.9,-1
23.6,23.2,0.06,25.9,-1
22.8,22.5,0.08,25.9,-1
22.1,25.2,0.06,25.9,-1
22.7,21.2,0.12,25.9,-1
23.6,21.9,0.09,25.9,-1
23,34.2,0.08,25.9,-1
24,33.5,0.06,25.9,-1
22.7,29.4,0.05,25.9,-1
21.5,33.7,0.07,25.9,-1
22.2,37,0.16,25.9,-1
21.3,30.6,0.11,25.9,-1
21.5,38.9,0.1,25.9,-1
23.4,35.3,0.09,25.9,-1
24.9,13.8,0.05,25.9,-1
23.9,13.4,0.06,25.9,-1
24.6,14,0.06,25.9,-1
22.2,12.4,0.15,25.9,-1
23.2,11.9,0.08,25.9,-1
22.6,11.8,0.08,25.9,-1
23.5,10.4,0.03,25.9,-1
22.8,12.6,0.06,25.9,-1
23.3,12.3,0.09,25.9,-1
23,11.3,0.09,25.9,-1
22.7,12.6,0.13,25.9,-1
22.9,23,0.07,25.9,-1
23.7,20.3,0.06,25.9,-1
22.9,21.5,0.14,25.9,-1
23.5,21.8,0.05,25.9,-1
22.5,19.7,0.05,25.9,-1
23.4,19.3,0.06,25.9,-1
22.4,20.6,0.06,25.9,-1
21.9,21.1,0.07,25.9,-1
21.7,20.5,0.1,25.9,-1
20.3,21.6,0.06,25.9,-1
23,20.3,0.08,25.9,-1
20.3,23.2,0.16,25.9,-1
21.7,20.7,0.1,25.9,-1
21.9,20,0.09,25.9,-1
22.7,31.5,0.09,25.9,-1
22.9,34.8,0.12,25.9,-1
22.3,33.5,0.19,25.9,-1
24.5,30.2,0.09,25.9,-1
23.6,29.9,0.11,25.9,-1
24.1,30.2,0.08,25.9,-1
22.6,30.9,0.09,25.9,-1
22.8,32.3,0.1,25.9,-1
23.5,28.5,0.1,25.9,-1
23.6,29.2,0.08,25.9,-1
23.5,50.6,0.15,25.9,-1
23.5,50.6,0.1,25.9,-1
24.1,50.6,0.27,25.9,-1
23.6,52.7,0.23,25.9,-1
24.5,49.2,0.22,25.9,-1
25.6,48.6,0.22,25.9,-1
23.5,53.2,0.16,25.9,-1
22,51.5,0.33,25.9,-1
22,51.5,0.33,25.9,-1
23.5,53.2,0.53,25.9,-1
22.7,57.8,0.17,25.9,-1
23.7,53.4,0.08,25.9,-1
22.8,52.5,0.24,25.9,-1
22.4,52,0.15,25.9,-1
24.9,47.2,0.15,25.9,-1
24.5,44.9,0.08,25.9,-1
24.3,45.9,0.06,25.9,-1
22.8,50.4,0.14,25.9,-1
24,60.4,0.08,25.9,-1
24.1,59.8,0.08,25.9,-1
23.6,58.7,0.07,25.9,-1
23.6,58.7,0.07,25.9,-1
23.6,58.7,0.05,25.9,-1
24.4,54.2,0.21,25.9,-1
23.5,57.9,0.15,25.9,-1
23.5,57.9,0.15,25.9,-1
24.6,50.6,0.23,25.9,-1
25.4,53.9,0.13,25.9,-1
25.4,44.8,0.19,25.9,-1
20.2,63.4,0.27,25.9,-1
20.3,56.7,0.24,25.9,-1
20.4,56.8,0.25,25.9,-1
21.9,58.4,0.22,25.9,-1
19.5,57.3,0.28,25.9,-1
21.1,56.1,0.27,25.9,-1
23.2,59,0.2,25.9,-1
24,58.4,0.08,25.9,-1
23.9,59.6,0.14,25.9,-1
23.9,59.6,0.14,25.9,-1
23,52.7,0.04,25.9,-1
23,52.7,0.04,25.9,-1
23,50.7,0.08,25.9,-1
24.7,53.2,0.2,13,-1
21.6,52.4,0.15,13,-1
21.7,52.6,0.18,13,-1
21.6,52.4,0.15,13,-1
25.3,58.9,1,13,-1
21.6,52.4,0.15,13,-1
21.7,52.6,0.15,13,-1
21.6,52.4,0.15,13,-1
21.7,51.9,0.18,13,-1
23,56.7,0.21,13,-1
23,56.7,0.18,13,-1
22.5,57.6,0.23,13,-1
23.7,45.7,0.15,13,-1
23.7,45.7,0.15,13,-1
22.5,50.8,0.17,13,-1
23.4,59.2,0.29,13,-1
23.4,48.5,0.08,13,-1
23.9,47.9,0.31,13,-1
23.5,51.9,0.1,13,-1
23.3,54.3,0.05,13,-1
24.7,50,0.28,13,-1
23.5,47.4,0.1,13,-1
23.5,47.4,0.1,13,-1
23.5,47.4,0.1,13,-1
23.5,47.4,0.1,13,-1
21.9,54.9,0.14,13,-1
23.9,46,0.1,13,-1
21.7,52.6,0.13,13,-1
21.7,52.6,0.13,13,-1
21.8,52,0.12,13,-1
21.6,53.8,0.12,13,-1
23.7,63.6,0.21,13,-1
23.7,63.6,0.21,13,-1
24.9,58.6,0.21,13,-1
25.1,51.1,0.24,13,-1
24.1,51.3,0.22,13,-1
22.4,52.7,0.08,13,-1
23.5,50,0.06,13,-1
27.8,50.9,0.21,13,-1
28.4,47.6,0.21,13,-1
27.1,70.7,0.21,13,-1
27,68.7,0.25,13,-1
26.1,70.8,0.69,13,-1
26.1,70.8,0.6,13,-1
26.1,70.8,0.62,13,-1
26.9,67.9,0.3,13,-1
26.1,70.8,0.69,13,-1
26.4,70.3,0.38,13,-1
27.4,68.3,0.25,13,-1
27.3,65.6,0.99,13,-1
26.4,74.3,0.16,13,-1
27.7,69.7,0.28,13,-1
29.6,65.9,0.35,13,-1
29.2,68.1,0.31,13,-1
27.6,63.3,0.27,13,-1
28,61.2,0.5,13,-1
30.1,62.1,0.32,13,-1
28.7,62.9,0.27,13,-1
26.9,56,0.26,13,-1
27,55.5,0.26,13,-1
26.9,54.8,0.26,13,-1
26.9,56,0.26,13,-1
26.5,58.1,0.28,13,-1
26.5,58.1,0.28,13,-1
28,48.8,0.34,13,-1
26.8,51.1,0.28,13,-1
26.8,51.1,0.3,13,-1
27.2,57.5,0.31,13,-1
26.5,46.1,0.15,13,-1
26.5,48.4,0.64,13,-1
26.6,46.2,0.22,13,-1
26.4,48.3,0.22,13,-1
26.6,47.9,2.32,13,-1
25.6,44.4,0.09,13,-1
23.5,51.3,0.11,13,-1
23.8,49,0.1,13,-1
26.3,51.2,0.08,13,-1
21.6,49.7,0.05,13,-1
22,48.1,0.06,13,-1
18.7,51.8,0.02,13,-1
22.6,44.3,0.06,13,-1
23.7,40.2,0.03,13,-1
24.4,44.1,0.02,13,-1
22.2,47.7,0.05,13,-1
21.4,53.6,0.02,13,-1
22.4,53.4,0.05,22,-1
23.9,47.9,0.05,22,-1
21.6,49.7,0.04,22,-1
23.3,46.5,0.01,22,-1
19.5,54.3,0.06,22,-1
20.4,51,0.02,22,-1
22.2,42.5,0.14,22,-1
25.2,35.3,0.28,22,-1
23,41.7,0.06,13,-1
22.6,48.9,0.03,22,-1
22.2,46.4,0.02,22,-1
21.5,53,0.02,22,-1
23.5,41.7,0.13,22,-1
23.4,40.4,0.5,22,-1
23.6,39.4,0.05,22,-1
21.9,62,0.1,22,-1
20.9,50.2,0.14,22,-1
21,47.5,0.01,22,-1
21.7,47.8,0.02,22,-1
24.6,37.3,0.07,22,-1
22.2,51.8,0.04,22,-1
22.4,50,0.03,22,-1
24,46.7,0.04,22,-1
22.3,61.6,0.01,22,-1
24.4,52.2,0.08,22,-1
23.4,57.1,0.02,22,-1
22.6,61.9,0.02,22,-1
24.1,51.3,0.01,22,-1
22.7,57.8,0.18,22,-1
22.6,59.1,0.04,22,-1
22.5,59,0.09,22,-1
25.5,45.5,0.22,22,-1
24.4,48.5,0.1,22,-1
22.3,51.9,0.12,22,-1
22.7,49,0.01,22,-1
22.8,51.8,0.03,22,-1
23.2,50.9,0.1,22,-1
23.7,50.2,0.01,22,-1
23.8,52.2,0.04,22,-1
23.4,44.1,0.08,22,-1
24.2,39.6,0.01,22,-1
22.6,47.6,0.01,22,-1
23.1,48.8,0.04,22,-1
21.1,49,0.05,22,-1
23.8,50.3,0.04,22,-1
24.3,36.2,0.01,22,-1
23.4,46,0.1,22,-1
22.5,44.8,0.18,12,-1
24,41.2,0.2,12,-1
23.8,36.7,0.04,12,-1
21,56,0.2,12,-1
23.1,53.5,0.01,12,-1
20.2,55.1,0.06,28,-1
23.7,45.1,0.05,13,-1
23.5,39.3,0.1,13,-1
22.8,54.5,0.01,13,-1
23.4,49.2,0.08,13,-1
24,49.3,0.16,13,-1
22.7,53,0.01,13,-1
24,49.3,0.2,13,-1
21.9,59.1,0.01,13,-1
22.7,45.7,0.02,13,-1
22.7,62,0.09,13,-1
21.9,56.3,0.08,13,-1
22.9,53.2,0.08,13,-1
21.7,54,0.05,13,-1
23.2,52.9,0.04,13,-1
22.6,57.7,0.08,13,-1
22.7,60.6,0.1,13,-1
21.5,64.6,0.13,13,-1
22.5,64.7,0.1,13,-1
22.7,61.3,0.14,13,-1
21.8,52.7,0.12,13,-1
22.7,50.3,0.11,13,-1
23.4,47.3,0.1,13,-1
24.8,42.8,0.04,13,-1
22.6,52.2,0.11,13,-1
23.4,48.5,0.1,13,-1
23,50,0.08,13,-1
23.5,55.2,0.2,13,-1
22.9,58.7,0.17,27,-1
22,57.1,0.4,27,-1
23.3,60.4,0.08,27,-1
22.9,62.9,0.11,27,-1
22.9,53.2,0.11,27,-1
21,59.7,0.17,27,-1
22.3,61.6,0.14,27,-1
22.7,59.9,0.1,27,-1
22.5,57.6,0.05,27,-1
22.7,42.5,0.22,27,-1
27,70.6,0.87,27,-1
21.9,48.7,0.07,27,-1
21.9,57,0.08,27,-1
23.6,49.4,0.12,27,-1
21.7,58.2,0.1,27,-1
21.6,66.1,0.19,27,-1
23.9,48.5,0.11,27,-1
21.6,56.7,0.08,27,-1
22.3,54.6,0.08,27,-1
22.3,56.7,0.16,27,-1
22,57.8,0.14,27,-1
21.9,57,0.12,27,-1
22.8,55.2,0.07,27,-1
22.6,59.8,0.09,13,-1
22.6,59.8,0.07,13,-1
25,56.1,1.88,13,-1
24.8,58.5,0.1,13,-1
24.5,59.5,0.22,13,-1
23.2,63.8,0.11,13,-1
23.6,44.3,0.02,13,-1
22.6,68.4,0.2,13,-1
24.5,45.5,0.11,13,-1
23.6,54.7,0.17,13,-1
23.6,54.7,0.21,13,-1
23.6,54.7,0.15,13,-1
23.5,50,0.14,13,-1
22.4,52,0.1,13,-1
22.8,50.4,0.03,13,-1
25.2,57.5,0.14,13,-1
24.3,60.7,0.1,13,-1
23.4,65.4,0.16,13,-1
23.4,64.7,0.1,13,-1
21.7,58.9,0.15,13,-1
25.4,54.5,0.75,13,-1
22.5,58.3,0.17,13,-1
23.3,66,0.06,13,-1
22.5,53.5,0.22,13,-1
23,53.3,0.06,13,-1
21,58.9,0.13,13,-1
24,65.9,0.1,13,-1
22.5,55.5,0.1,13,-1
22,67.2,0.12,13,-1
22,67.2,0.16,13,-1
21.1,68,0.05,13,-1
23.6,49.4,0.11,13,-1
23.9,48.5,0.12,13,-1
23,53.3,0.11,13,-1
24,48.6,0.15,13,-1
23.4,49.8,0.13,13,-1
23.6,50.7,0.1,13,-1
23.6,50.7,0.13,13,-1
23.5,57.2,0.12,13,-1
23.5,50,0.11,13,-1
23.3,49.1,0.13,13,-1
24.1,41.3,0.24,27,-1
22.1,53,0.12,27,-1
24.8,57.8,0.93,27,-1
21.9,55.6,0.14,13,-1
23.3,46.5,0.17,13,-1
23,58.8,0.1,13,-1
23,58.8,0.12,13,-1
24.1,65.3,0.14,13,-1
22.3,67.4,0.08,13,-1
23.6,57.3,0.11,13,-1
23.7,56.8,0.08,13,-1
24.4,52.2,0.14,13,-1
23.4,37.3,0.09,13,-1
23.4,41,0.06,13,-1
23.1,34.4,0.12,13,-1
23.5,44.2,0.19,13,-1
23.4,41.6,0.13,13,-1
23.6,37.6,0.07,13,-1
22.9,40.3,0.1,13,-1
22.2,43.1,0.09,13,-1
22.3,43.9,0.06,13,-1
21.7,36.6,0.05,13,-1
23.8,37.3,0.03,13,-1
23,41.7,0.13,13,-1
21.3,47.9,0.04,13,-1
22.1,35.9,0.08,13,-1
21.7,36.6,0.15,13,-1
22.3,36.2,0.17,13,-1
21.6,40.3,0.18,13,-1
20.4,39.1,0.14,13,-1
22.2,36.7,0.11,13,-1
20.4,39.1,0.07,13,-1
22.5,30.4,0.08,13,-1
23,33.1,0.1,13,-1
22.1,35.9,0.07,13,-1
20.4,39.8,0.08,13,-1
23.5,32.7,0.16,13,-1
22.2,38,0.15,13,-1
20.6,43.5,0.17,13,-1
21,42.1,0.04,13,-1
21,42.1,0.04,13,-1
21,42.1,0.04,13,-1
