Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,Radiant temperature (¡C),Age,Sex,Clo,Met
22.34,22.46,0.03,1,-2,22.34,32,2,0.71,1.5
21.73,21.97,0.03,2,0,21.73,32,2,0.71,1.067
21.3,27.72,0.03,4,0,21.3,32,2,0.8,1.6
22.34,28.02,0.03,8,0,22.34,32,2,0.8,1.067
22.69,30.34,0.03,12,1,22.69,32,2,0.8,1.067
21.13,35.08,0.03,12,0,21.13,32,2,0.78,1.75
23.2,44.71,0.03,19,0,23.2,32,2,0.42,1.067
21.04,30.33,0.03,7,0,21.04,32,2,0.57,1.6
22.25,28.76,0.03,7,-2,22.25,32,2,0.871,1.275
22.6,27.61,0.03,6,0,22.6,32,2,0.871,1.5
20.87,24.2,0.03,-1,1,20.87,32,2,0.99,1.6
21.91,20.19,0.03,-1,-2,21.91,32,2,0.99,1.067
19.92,23.82,0.03,0,1,19.92,32,2,0.95,1.6
21.65,20.88,0.03,1,0,21.65,32,2,0.95,1
21.99,21.78,0.03,1,1,21.99,32,2,0.95,1.067
20.17,26.61,0.03,1,0,20.17,32,2,0.67,1.9
21.99,22.58,0.03,4,-1,21.99,32,2,0.67,1.033
21.3,20.22,0.03,2,-2,21.3,32,2,0.88,1.653
20.35,26.44,0.03,3,1,20.35,32,2,0.59,1.6
21.82,25.01,0.03,3,0,21.82,32,2,0.95,1.067
21.82,27.52,0.03,3,-1,21.82,32,2,0.95,1.067
22.34,32.52,0.03,17,0,22.34,32,2,0.64,1.6
23.72,33.05,0.03,23,0,23.72,32,2,0.64,1.05
22.69,44.36,0.03,22,0,22.69,32,2,0.561,1.75
24.07,44.91,0.03,30,0,24.07,32,2,0.51,1.033
24.76,45.68,0.03,31,0,24.76,32,2,0.51,1.033
23.38,54.8,0.03,21,0,23.38,32,2,0.55,1.6
21.73,43.2,0.03,8,0,21.73,32,2,0.74,1.6
22.69,37.31,0.03,9,1,22.69,32,2,0.74,1.067
23.2,39.38,0.03,9,0,23.2,32,2,0.74,1.15
22.34,30.09,0.03,9.444444,0,22.34,32,2,0.32,1.6
23.64,28.71,0.03,12,-1,23.64,32,2,0.79,1.033
24.07,30.17,0.03,13.611111,1,24.07,32,2,0.79,1.067
25.36,42.56,0.03,23,0,25.36,32,2,0.59,1.067
23.03,44.74,0.03,18,-2,23.03,32,2,0.82,1.067
23.38,42.57,0.03,21,0,23.38,32,2,0.82,1.067
22.69,43.76,0.03,14,0,22.69,32,2,0.52,1.6
23.89,43.91,0.03,16,-1,23.89,32,2,0.77,1.067
24.07,46.34,0.03,18,1,24.07,32,2,0.77,1.033
23.46,53.4,0.03,22,-2,23.46,32,2,0.8,1.5
23.38,54.35,0.03,23,0,23.38,32,2,0.8,1.067
23.29,57.26,0.03,25,0,23.29,32,2,0.8,1.067
24.14,55.63,0.03,29,1,24.14,56,2,0.61,1.475
23.33,55.63,0.03,24,0,23.33,56,2,0.44,2.8
22.81,55.63,0.03,28,0,22.81,56,2,0.74,1.475
23.18,55.63,0.03,29,0,23.18,56,2,0.56,1.267
22.66,55.63,0.03,26,0,22.66,56,2,0.44,1.35
24.07,55.63,0.03,32,1,24.07,56,2,0.44,1
24.51,55.63,0.03,33,2,24.51,56,2,0.42,1.05
23.55,55.63,0.03,30,1,23.55,56,2,0.44,1.567
22.88,55.63,0.03,28,0,22.88,56,2,0.51,1.45
22.73,55.63,0.03,23,0,22.73,56,2,0.51,1.55
22.73,55.63,0.03,28,0,22.73,56,2,0.44,1.05
22.73,55.63,0.03,29,0,22.73,56,2,0.79,1.4
23.92,55.63,0.03,32,1,23.92,56,2,0.61,1.267
22.88,30.45,0.03,3,0,22.88,56,2,0.95,1.2
22.14,30.45,0.03,6.277778,0,22.14,56,2,0.95,1.05
22.81,30.45,0.03,4,1,22.81,56,2,1.09,1.567
21.69,30.45,0.03,3,-1,21.69,56,2,0.69,1.05
22.88,30.45,0.03,3,0,22.88,56,2,0.59,1.05
22.88,30.45,0.03,9,1,22.88,56,2,0.59,1.456
23.1,30.45,0.03,11,0,23.1,56,2,0.59,1.18
22.81,30.45,0.03,7,1,22.81,56,2,0.86,1.3
23.33,30.45,0.03,11,1,23.33,56,2,0.86,1.367
22.88,30.45,0.03,13,1,22.88,56,2,0.86,1.7
23.33,22.36,0.03,9,2,23.33,56,2,0.86,1.5
23.4,22.36,0.03,9,2,23.4,56,2,0.82,1.333
22.88,22.36,0.03,10,2,22.88,56,2,0.57,1.4
22.51,22.36,0.03,7,0,22.51,56,2,0.77,1.608
22.66,22.36,0.03,9,1,22.66,56,2,0.77,1.6
22.88,22.36,0.03,9,1,22.88,56,2,0.77,1.1
22.58,22.36,0.03,-1,0,22.58,56,2,1.04,1.275
22.51,31.02,0.03,12,1,22.51,56,2,0.88,1.62
22.96,31.02,0.03,18,-1,22.96,56,2,0.88,1.05
21.69,31.02,0.03,12,-1,21.69,56,2,0.88,1.4
18.64,31.02,0.03,4,-2,18.64,56,2,0.77,1.643
23.25,31.02,0.03,6,-2,23.25,56,2,0.77,1.4
23.47,31.02,0.03,7,0,23.47,56,2,0.77,1.4
22.96,31.02,0.03,6,1,22.96,56,2,0.65,1.475
22.44,31.02,0.03,7,0,22.44,56,2,0.65,1.2
22.66,31.02,0.03,8,1,22.66,56,2,0.65,1.525
23.1,31.02,0.03,11,0,23.1,56,2,0.65,1.4
23.77,31.02,0.03,10,1,23.77,56,2,0.65,1.325
23.38,55.63,0.03,27,1,23.38,55,2,0.44,1.6
23.64,55.63,0.03,30,-2,23.64,55,2,0.44,1.267
24.05,55.63,0.03,29,-2,24.05,55,2,0.44,1.267
23.38,55.63,0.03,26,-2,23.38,55,2,0.58,1.6
23.38,55.63,0.03,28,-1,23.38,55,2,0.58,1.267
23.64,55.63,0.03,28,0,23.64,55,2,0.58,1.55
23.31,55.63,0.03,24,0,23.31,55,2,0.44,1.6
23.24,55.63,0.03,26,-2,23.24,55,2,0.44,1.05
23.38,55.63,0.03,27,-2,23.38,55,2,0.44,1.1
23.24,55.63,0.03,27,0,23.24,55,2,0.44,1.6
23.38,55.63,0.03,31,1,23.38,55,2,0.44,1.55
23.91,55.63,0.03,33,2,23.91,55,2,0.44,1.5
23.64,55.63,0.03,28,0,23.64,55,2,0.58,1.6
24.18,55.63,0.03,32,-2,24.18,55,2,0.58,1.267
24.65,55.63,0.03,33,-1,24.65,55,2,0.58,1.267
24.18,55.63,0.03,28,0,24.18,55,2,0.34,1.6
24.32,55.63,0.03,30,-2,24.32,55,2,0.34,1.267
24.72,55.63,0.03,32,-2,24.72,55,2,0.34,1.05
23.24,55.63,0.03,26,-1,23.24,55,2,0.58,1.6
23.38,55.63,0.03,28,-2,23.38,55,2,0.58,1.1
23.58,55.63,0.03,29,-2,23.58,55,2,0.58,1.267
23.38,55.63,0.03,27,-1,23.38,55,2,0.44,1.3
23.64,55.63,0.03,30,-1,23.64,55,2,0.44,1.267
23.64,55.63,0.03,31,-1,23.64,55,2,0.44,1.1
23.91,55.63,0.03,31,-2,23.91,55,2,0.44,1.05
23.58,55.63,0.03,28,-2,23.58,55,2,0.44,1.3
23.91,55.63,0.03,31,-2,23.91,55,2,0.44,1.267
24.45,55.63,0.03,33,-1,24.45,55,2,0.44,1.05
23.91,55.63,0.03,26,-2,23.91,55,2,0.45,1.3
23.58,55.63,0.03,26,-2,23.58,55,2,0.45,1.267
23.64,55.63,0.03,26,-1,23.64,55,2,0.45,1.35
24.72,55.63,0.03,24,1,24.72,55,2,0.44,1.067
23.44,55.63,0.03,26,0,23.44,55,2,0.44,1.267
24.05,55.63,0.03,25,0,24.05,55,2,0.44,1.05
24.18,55.63,0.03,21,-1,24.18,55,2,0.71,1.1
23.91,55.63,0.03,21,-2,23.91,55,2,0.71,1.1
19.59,30.45,0.03,4,0,19.59,55,2,0.62,1.661
20.95,30.45,0.03,6,-2,20.95,55,2,0.8,1.2
22.57,30.45,0.03,8,-2,22.57,55,2,0.92,1.2
19.46,30.45,0.03,3,-1,19.46,55,2,0.71,1.25
21.35,30.45,0.03,6.277778,-1,21.35,55,2,1.01,1.2
22.77,30.45,0.03,7,-1,22.77,55,2,1.01,1.15
20.14,30.45,0.03,4,0,20.14,55,2,0.67,1
21.22,30.45,0.03,3,0,21.22,55,2,0.67,1.05
22.23,30.45,0.03,2,-1,22.23,55,2,1.1,1.3
19.87,30.45,0.03,6,0,19.87,55,2,0.71,1
22.03,30.45,0.03,9,-1,22.03,55,2,0.71,1.15
22.84,30.45,0.03,11,-1,22.84,55,2,0.71,1.325
20.41,30.45,0.03,7,1,20.41,55,2,0.84,1
23.04,30.45,0.03,11,2,23.04,55,2,0.84,1.3
23.91,30.45,0.03,13,2,23.91,55,2,0.84,1.7
22.16,30.45,0.03,12,0,22.16,55,2,0.46,1
23.64,30.45,0.03,21,1,23.64,55,2,0.46,1.1
23.24,30.45,0.03,21,-1,23.24,55,2,0.76,1.1
22.3,30.45,0.03,7,0,22.3,55,2,0.54,1
22.84,30.45,0.03,7,-1,22.84,55,2,0.84,1.05
23.24,30.45,0.03,8,-1,23.24,55,2,0.84,1.05
20,30.45,0.03,5,0,20,55,2,0.78,1.4
22.3,30.45,0.03,7.944444,0,22.3,55,2,0.78,1.1
23.38,30.45,0.03,9,0,23.38,55,2,0.78,1.1
20.88,30.45,0.03,5,0,20.88,55,2,0.67,1
22.7,30.45,0.03,8,0,22.7,55,2,0.67,1.05
23.38,30.45,0.03,9,0,23.38,55,2,0.67,1.067
20.81,30.45,0.03,6,0,20.81,55,2,0.67,1
22.23,30.45,0.03,8,0,22.23,55,2,0.97,1.175
23.24,30.45,0.03,9,0,23.24,55,2,0.97,1
21.96,22.36,0.03,4,1,21.96,55,2,0.49,1.25
23.24,22.36,0.03,9,2,23.24,55,2,0.49,1.28
23.91,22.36,0.03,10,1,23.91,55,2,0.49,1.325
22.16,22.36,0.03,6,1,22.16,55,2,0.67,1.25
23.24,22.36,0.03,8,1,23.24,55,2,0.67,1.15
23.91,22.36,0.03,10,1,23.91,55,2,0.67,1.267
22.57,22.36,0.03,-1,2,22.57,55,2,0.78,1
23.64,22.36,0.03,1,2,23.64,55,2,0.78,1.36
23.44,22.36,0.03,2,2,23.44,55,2,0.78,1.2
23.38,22.36,0.03,4,2,23.38,55,2,0.78,1.25
24.38,22.36,0.03,8,2,24.38,55,2,0.78,1.28
24.99,22.36,0.03,11,2,24.99,55,2,0.78,1.175
24.45,22.36,0.03,12,2,24.45,55,2,0.58,1.033
24.45,22.36,0.03,18,2,24.45,55,2,0.58,1.175
24.99,22.36,0.03,19,2,24.99,55,2,0.58,1.067
23.11,22.36,0.03,7,1,23.11,55,2,0.67,1
23.85,22.36,0.03,7,0,23.85,55,2,0.67,1.067
24.72,22.36,0.03,6,1,24.72,55,2,0.67,1.05
22.3,22.36,0.03,-1,1,22.3,55,2,0.84,1.25
22.7,22.36,0.03,-1,1,22.7,55,2,0.84,1
23.31,22.36,0.03,-1.222222,1,23.31,55,2,0.84,1.067
20.68,22.36,0.03,-3,-1,20.68,55,2,1.081,1.1
21.76,22.36,0.03,-2,-1,21.76,55,2,0.78,1.05
22.57,22.36,0.03,-1,-1,22.57,55,2,0.78,1.2
22.16,22.36,0.03,0,2,22.16,55,2,0.84,1.275
22.84,22.36,0.03,1,1,22.84,55,2,0.84,1.175
23.04,22.36,0.03,1,-1,23.04,55,2,0.76,1.28
22.23,22.36,0.03,1,2,22.23,55,2,0.78,1.25
23.04,22.36,0.03,4,-1,23.04,55,2,0.84,1.05
23.38,22.36,0.03,4,-1,23.38,55,2,0.78,1.067
22.3,22.36,0.03,-1,1,22.3,55,2,0.78,1.05
23.11,22.36,0.03,2,-1,23.11,55,2,1.081,1.267
23.31,22.36,0.03,3,-1,23.31,55,2,1.081,1.5
22.84,22.36,0.03,3,2,22.84,55,2,0.84,1.25
23.17,22.36,0.03,3,1,23.17,55,2,0.84,1.2
23.38,22.36,0.03,3,1,23.38,55,2,0.84,1.2
24.08,31.57,0.03,17,0,24.08,55,2,0.42,1
25.75,29.28,0.03,23,0,25.75,55,2,0.42,1.05
26.53,29.2,0.03,22,1,26.53,55,2,0.42,1.5
25,38.84,0.03,22,0,25,55,2,0.39,1
27.04,32.47,0.03,28,0,27.04,55,2,0.39,1.067
24.22,51.63,0.03,21,0,24.22,55,2,0.39,1
22.85,52.76,0.03,21,-1,22.85,55,2,0.39,1.1
23.33,46.61,0.03,18,2,23.33,55,2,0.611,1.267
21.42,42.69,0.03,8,0,21.42,55,2,0.59,1
21.73,41.49,0.03,8,0,21.73,55,2,0.59,1.3
24.03,36.46,0.03,9,0,24.03,55,2,0.59,1.26
23.48,27.06,0.03,9.444444,0,23.48,55,2,0.46,1.267
24.73,26.61,0.03,13,0,24.73,55,2,0.46,1.2
24.8,27.57,0.03,14,0,24.8,55,2,0.46,1.2
23.91,38.2,0.03,21,0,23.91,55,2,0.46,1
26.9,37.61,0.03,22,0,26.9,55,2,0.46,1.025
22.16,48.79,0.03,16,0,22.16,55,2,0.46,1.25
22.92,44.38,0.03,17,0,22.92,55,2,0.46,1.05
24.68,38.21,0.03,21,0,24.68,55,2,0.46,1.4
21.97,44.14,0.03,14,-1,21.97,55,2,0.46,1.2
23.14,44.24,0.03,16,-1,23.14,55,2,0.46,1.267
24.13,43.65,0.03,18,-1,24.13,55,2,0.46,1.05
23.31,47.31,0.03,19,0,23.31,55,2,0.46,1.033
23.96,52.79,0.03,23,0,23.96,55,2,0.46,1.05
24.2,54.46,0.03,26,0,24.2,55,2,0.46,1.4
24.15,54.32,0.03,24,-1,24.15,58,2,0.44,1.6
24.25,50.93,0.03,30,-1,24.25,58,2,0.74,1.3
24.34,49.89,0.03,29,0,24.34,58,2,0.44,1.367
23.96,51.12,0.03,24,-1,23.96,58,2,0.44,1.6
24.06,48.78,0.03,27,-2,24.06,58,2,0.74,1
24.44,47.06,0.03,28,0,24.44,58,2,0.44,1.5
24.06,53.32,0.03,23,-1,24.06,58,2,0.61,1.6
23.96,49.46,0.03,26,-1,23.96,58,2,0.65,1.267
24.15,47.86,0.03,27,-1,24.15,58,2,0.61,1.05
23.96,49.64,0.03,27,1,23.96,58,2,0.78,1.6
24.06,50.19,0.03,32,-1,24.06,58,2,0.74,1.05
24.34,49.49,0.03,33,0,24.34,58,2,0.44,1.05
24.25,54.67,0.03,26,0,24.25,58,2,0.44,1.6
24.53,54.42,0.03,31,-1,24.53,58,2,0.78,1.05
24.82,53.55,0.03,33,0,24.82,58,2,0.44,1.35
24.44,59.58,0.03,27,-1,24.44,58,2,0.78,1.6
24.25,55.29,0.03,29,-2,24.25,58,2,1.08,1.267
24.06,51.82,0.03,31,0,24.06,58,2,0.44,1.5
24.06,48.63,0.03,26,-1,24.06,58,2,0.6,1.6
24.34,45.13,0.03,28,-1,24.34,58,2,0.78,1.35
23.48,53.82,0.03,27,0,23.48,58,2,0.78,1.05
23.77,52.81,0.03,30,-1,23.77,58,2,1.08,1.05
23.96,50.87,0.03,31,1,23.96,58,2,0.78,1.05
24.73,52.97,0.03,31,0,24.73,58,2,0.78,1
24.73,54.17,0.03,33,0,24.73,58,2,0.44,1.4
24.53,53.02,0.03,26,-1,24.53,58,2,0.65,1.05
24.53,51.03,0.03,28,0,24.53,58,2,0.29,1.367
24.92,46.87,0.03,20,0,24.92,58,2,0.56,1.467
23.48,41.46,0.03,21,0,23.48,58,2,0.56,1.14
23.58,39.19,0.03,10,2,23.58,58,2,0.78,1.32
23.77,34.01,0.03,10,2,23.77,58,2,0.78,1.533
22.14,36.61,0.03,8,0,22.14,58,2,0.79,1.567
23.77,34.33,0.03,11,1,23.77,58,2,0.79,1.367
23.96,32.44,0.03,11,1,23.96,58,2,0.79,1.3
21.95,30.93,0.03,4,0,21.95,58,2,1.35,1.622
23.48,28.65,0.03,6,0,23.48,58,2,0.93,1.225
23.67,26.46,0.03,8,0,23.67,58,2,0.93,1.283
22.14,26.65,0.03,1,0,22.14,58,2,1.15,1.567
23.67,26.35,0.03,5.277778,0,23.67,58,2,1.15,1.225
23.67,26.12,0.03,7,2,23.67,58,2,1.15,1.333
21.76,26.18,0.03,4,-1,21.76,58,2,1.07,1.625
23.58,26.22,0.03,6,0,23.58,58,2,1.07,1.256
23.48,27.59,0.03,2,0,23.48,58,2,1.07,1.188
22.24,28.5,0.03,6,-1,22.24,58,2,0.83,1.629
24.06,26.65,0.03,9,2,24.06,58,2,0.79,1.167
24.44,24.26,0.03,11,2,24.44,58,2,0.79,1.225
22.62,25.55,0.03,4,0,22.62,58,2,1.07,1.629
23.86,26.25,0.03,10,-1,23.86,58,2,1.03,1.213
24.63,25.61,0.03,13,1,24.63,58,2,1.03,1.243
22.33,39.84,0.03,7,-2,22.33,58,2,0.88,1.6
23.77,40.84,0.03,18,-2,23.77,58,2,1.18,1.267
23.77,37.12,0.03,8,2,23.77,58,2,1.17,1.283
23.58,27.74,0.03,6,0,23.58,58,2,0.84,1.633
24.25,25.36,0.03,8,0,24.25,58,2,1.141,1.271
24.25,24.4,0.03,10,0,24.25,58,2,0.84,1.18
22.14,22.36,0.03,-1,-2,22.14,58,2,1.281,1.6
25.11,22.36,0.03,1,2,25.11,58,2,0.96,1.171
23.29,22.36,0.03,2,-1,23.29,58,2,0.96,1.143
22.91,22.36,0.03,4,-1,22.91,58,2,1.321,1.629
23.77,22.36,0.03,7,0,23.77,58,2,1.321,1.18
24.34,22.36,0.03,11,0,24.34,58,2,1.321,1.217
23.48,22.36,0.03,6,-1,23.48,58,2,0.82,1.9
24.82,22.36,0.03,19,1,24.82,58,2,0.78,1.256
23.2,22.36,0.03,-1,0,23.2,58,2,0.88,1.557
23.77,22.36,0.03,-2,2,23.77,58,2,1.141,1.256
23.58,22.36,0.03,-1.222222,1,23.58,58,2,1.141,1.44
22.62,22.36,0.03,-2,0,22.62,58,2,1.32,1.256
23.1,22.36,0.03,-1,0,23.1,58,2,1.32,1.36
22.43,22.36,0.03,-1,0,22.43,58,2,0.96,1.609
23.2,22.36,0.03,1,0,23.2,58,2,1.241,1.225
23.48,22.36,0.03,1,1,23.48,58,2,1.241,1.225
22.52,22.36,0.03,-2,0,22.52,58,2,1.02,1.663
23.1,22.36,0.03,3,-1,23.1,58,2,1.281,1.338
23.48,22.36,0.03,4,1,23.48,58,2,0.98,1.289
22.62,22.36,0.03,-2,1,22.62,58,2,0.99,1.657
23.1,22.36,0.03,1,-1,23.1,58,2,1.211,1.122
23.39,22.36,0.03,3,1,23.39,58,2,0.91,1.225
22.62,22.36,0.03,4,0,22.62,58,2,1.02,1.6
23.2,22.36,0.03,3,-1,23.2,58,2,0.98,1.475
23.67,22.36,0.03,3,1,23.67,58,2,1.281,1.225
22.24,22.36,0.03,3,-1,22.24,58,2,0.82,1.514
22.91,22.36,0.03,5,-1,22.91,58,2,0.82,1.2
23.48,22.36,0.03,7,1,23.48,58,2,0.82,1.417
22.81,31.79,0.03,11,-1,22.81,58,2,0.86,1.567
23.39,42.93,0.03,16,-1,23.39,58,2,0.82,1.55
23.77,42.7,0.03,19,0,23.77,58,2,0.46,1.65
23.2,54.85,0.03,23,-1,23.2,58,2,1.081,1.275
22.91,30.05,0.03,8,0,22.91,58,2,1.05,1.486
23.86,28.75,0.03,11,-1,23.86,58,2,0.71,1.244
24.53,29.75,0.03,14,2,24.53,58,2,1.05,1.211
23.48,33.73,0.03,11,0,23.48,58,2,1.02,1.614
25.49,39.29,0.03,22,2,25.49,58,2,0.73,1.157
23,47.12,0.03,17,1,23,58,2,0.98,1.225
23.2,43.54,0.03,21,1,23.2,58,2,0.98,1.157
23.86,42.25,0.03,16,1,23.86,58,2,0.79,1.143
24.34,42.98,0.03,18,2,24.34,58,2,0.79,1.286
22.81,46.25,0.03,19,0,22.81,58,2,0.82,1.567
23.39,51.41,0.03,22,-1,23.39,58,2,1.081,1.383
23.29,58.52,0.03,26,0,23.29,58,2,0.78,1.1
22.52,29.71,0.03,7,0,22.52,58,2,1.17,1.867
23.86,28.64,0.03,11,-1,23.86,58,2,1.17,1.6
23.2,33.69,0.03,9,0,23.2,58,2,1.17,1.1
23.67,42.44,0.03,22,0,23.67,58,2,0.88,1.52
23.24,55.63,0.03,24,1,23.24,36,1,0.66,4
23.24,55.63,0.03,29,-1,23.24,36,1,0.66,1.5
23.16,55.63,0.03,31,-1,23.16,36,1,0.66,2
23.07,55.63,0.03,23,0,23.07,36,1,0.66,4
22.75,55.63,0.03,26,-1,22.75,36,1,0.66,1
22.67,55.63,0.03,28,0,22.67,36,1,0.66,1.35
22.91,55.63,0.03,24,0,22.91,36,1,0.66,1.05
22.75,55.63,0.03,26,-1,22.75,36,1,0.66,1.05
22.67,55.63,0.03,23,0,22.67,36,1,0.66,4
22.75,55.63,0.03,27,-1,22.75,36,1,0.66,1.05
22.75,55.63,0.03,31,1,22.75,36,1,0.66,1.05
23.4,55.63,0.03,26,0,23.4,36,1,0.64,4
23.16,55.63,0.03,29,0,23.16,36,1,0.66,1.367
23.07,55.63,0.03,32,0,23.07,36,1,0.66,1.05
23.56,55.63,0.03,27,0,23.56,36,1,0.66,4
23.16,55.63,0.03,30,1,23.16,36,1,0.66,1.05
22.83,55.63,0.03,31,-1,22.83,36,1,0.66,2
22.42,55.63,0.03,26,0,22.42,36,1,0.46,4
22.42,55.63,0.03,28,0,22.42,36,1,0.66,1
22.51,55.63,0.03,29,0,22.51,36,1,0.66,1
22.99,55.63,0.03,27,-1,22.99,36,1,0.66,1.05
22.99,55.63,0.03,30,0,22.99,36,1,0.66,1.05
22.83,55.63,0.03,31,0,22.83,36,1,0.66,1.167
23.16,55.63,0.03,31,0,23.16,36,1,0.66,1.05
23.16,55.63,0.03,26,1,23.16,36,1,0.66,4
23.4,55.63,0.03,31,2,23.4,36,1,0.66,1.05
23.24,55.63,0.03,33,0,23.24,36,1,0.66,1.05
23.8,55.63,0.03,27,1,23.8,36,1,0.66,4
22.91,55.63,0.03,26,1,22.91,36,1,0.66,1.2
25.02,55.63,0.03,24,0,25.02,36,1,0.63,2.56
23.07,55.63,0.03,26,-2,23.07,36,1,0.63,1.375
23.4,55.63,0.03,25,1,23.4,36,1,0.63,1.167
23.88,55.63,0.03,21,0,23.88,36,1,0.63,1.275
22.51,55.63,0.03,21,0,22.51,36,1,0.63,1.25
23.32,30.45,0.03,4,-2,23.32,36,1,0.72,2.52
23.32,30.45,0.03,6,-1,23.32,36,1,0.72,1.4
23.32,30.45,0.03,7,-1,23.32,36,1,0.72,1.3
23.32,30.45,0.03,4,0,23.32,36,1,0.68,2.75
23.32,30.45,0.03,3,-2,23.32,36,1,0.68,1.225
23.32,30.45,0.03,2,-1,23.32,36,1,0.68,1.325
23.32,30.45,0.03,6,-1,23.32,36,1,0.72,2.75
23.32,30.45,0.03,9,0,23.32,36,1,0.72,1.35
23.32,30.45,0.03,11,0,23.32,36,1,0.72,1.2
23.32,30.45,0.03,5,0,23.32,36,1,0.78,2.925
23.32,30.45,0.03,11,0,23.32,36,1,0.78,1.475
23.32,30.45,0.03,13,0,23.32,36,1,0.78,1.6
23.32,30.45,0.03,9,2,23.32,36,1,0.47,2.8
23.32,30.45,0.03,21,0,23.32,36,1,0.47,1.7
23.32,30.45,0.03,21,1,23.32,36,1,0.47,1.275
23.32,30.45,0.03,8,0,23.32,36,1,0.76,2.925
23.32,30.45,0.03,7,-1,23.32,36,1,0.76,1.1
20.07,30.45,0.03,3,0,20.07,36,1,0.51,2.8
21.45,30.45,0.03,7.944444,0,21.45,36,1,0.51,1.525
21.53,30.45,0.03,9,-1,21.53,36,1,0.51,1.175
20.8,30.45,0.03,8,0,20.8,36,1,0.76,1.625
20.8,30.45,0.03,9,0,20.8,36,1,0.76,1.825
20.15,30.45,0.03,8,0,20.15,36,1,0.67,1
