Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,Radiant temperature (¡C),Age,Sex
23.7,56,0.1,28.4,2,23.1,2,1
23.7,56,0.1,28.4,1,23.1,2,2
23.7,56,0.1,28.4,-1,23.1,2,2
23.7,56,0.1,28.4,-1,23.1,4,2
23.7,56,0.1,28.4,2,23.1,2,2
23.7,56,0.1,28.4,0,23.1,6,2
23.7,56,0.1,28.4,1,23.1,4,2
23.7,56,0.1,28.4,1,23.1,5,2
24.7,65,0.1,21.9,-2,23.1,1,1
24.7,65,0.1,21.9,-1,23.1,1,1
24.7,65,0.1,21.9,0,23.1,5,2
24.7,65,0.1,21.9,-1,23.1,1,2
24.7,65,0.1,21.9,-1,23.1,3,1
24.7,65,0.1,21.9,-2,23.1,1,2
24.7,65,0.1,21.9,0,23.1,1,1
24.7,65,0.1,21.9,0,23.1,2,1
24.7,65,0.1,21.9,-1,23.1,2,2
24.7,65,0.1,21.9,0,23.1,1,2
24.7,65,0.1,21.9,-1,23.1,6,2
24.7,65,0.1,21.9,-1,23.1,2,1
24.7,65,0.1,21.9,0,23.1,2,2
24.7,65,0.1,21.9,-1,23.1,3,2
24.7,65,0.1,21.9,1,23.1,2,2
18.53,38,0.1,13.65,0,23.1,2,1
18.53,38,0.1,13.65,0,23.1,1,1
18.53,38,0.1,13.65,0,23.1,1,2
18.53,38,0.1,13.65,0,23.1,2,2
18.53,38,0.1,13.65,1,23.1,2,1
18.53,38,0.1,13.65,0,23.1,6,1
18.53,38,0.1,13.65,1,23.1,1,1
18.53,38,0.1,13.65,0,23.1,3,1
18.53,38,0.1,13.65,-1,23.1,4,1
18.53,38,0.1,13.65,0,23.1,3,2
23.03,37.8,0.1,18.24,0,23.1,2,2
23.03,37.8,0.1,18.24,1,23.1,2,2
23.03,37.8,0.1,18.24,-1,23.1,2,2
23.03,37.8,0.1,18.24,0,23.1,1,1
23.03,37.8,0.1,18.24,0,23.1,3,2
23.03,37.8,0.1,18.24,0,23.1,1,2
23.03,37.8,0.1,18.24,0,23.1,2,1
23.03,37.8,0.1,18.24,-1,23.1,1,2
25.2,64,0.05,16,0,25.2,1,1
25.2,64,0.05,16,0,25.2,1,2
25.2,64,0.05,16,0,25.2,2,2
25.2,64,0.05,16,1,25.2,1,2
25.2,64,0.05,16,1,25.2,2,2
25.2,64,0.05,16,0,25.2,2,1
25.2,64,0.05,16,0,25.2,3,2
25.2,64,0.05,16,0,25.2,6,2
25.2,64,0.05,16,-1,25.2,2,2
25.2,64,0.05,16,-1,25.2,2,1
23.7,65,0.1,16.7,0,23.1,2,2
23.7,65,0.1,16.7,0,23.1,3,2
23.7,68,0.1,15.8,0,23.1,3,1
23.7,68,0.1,15.8,-1,23.1,3,2
23.7,68,0.1,15.8,-2,23.1,2,1
23.7,68,0.1,15.8,0,23.1,2,1
23.7,68,0.1,15.8,-1,23.1,2,2
23.7,68,0.1,15.8,-1,23.1,2,1
23.7,68,0.1,15.8,0,23.1,5,1
23.7,68,0.1,15.8,0,23.1,2,2
23.7,68,0.1,15.8,0,23.1,3,2
23.7,68,0.1,15.8,-1,23.1,3,1
23.7,68,0.1,15.8,0,23.1,4,1
23.7,63,0.1,13.3,1,23.1,2,2
23.7,63,0.1,13.3,-1,23.1,2,1
23.7,63,0.1,13.3,-1,23.1,1,1
23.7,63,0.1,13.3,-1,23.1,2,2
23.7,63,0.1,13.3,0,23.1,2,1
23.7,63,0.1,13.3,0,23.1,1,2
23.7,63,0.1,13.3,0,23.1,1,1
23.7,63,0.1,13.3,1,23.1,1,1
23.7,63,0.1,13.3,0,23.1,6,2
23.7,63,0.1,13.3,0,23.1,3,2
23.7,63,0.1,13.3,-2,23.1,1,2
23.7,63,0.1,13.3,0,23.1,2,2
23.7,63,0.1,13.3,-1,23.1,1,2
23.7,55,0.1,24.5,0,23.1,2,2
23.7,55,0.1,24.5,-1,23.1,3,1
23.7,55,0.1,24.5,0,23.1,3,2
23.7,55,0.1,24.5,0,23.1,1,1
23.7,55,0.1,24.5,-1,23.1,1,2
23.7,55,0.1,24.5,-1,23.1,1,1
23.7,92,0.1,19.7,-1,23.1,1,1
23.7,92,0.1,19.7,0,23.1,1,2
23.7,92,0.1,19.7,0,23.1,1,1
23.7,92,0.1,19.7,-1,23.1,1,2
23.7,61.5,0.1,21.1,0,23.1,2,2
23.7,61.5,0.1,21.1,0,23.1,1,2
23.7,61.5,0.1,21.1,0,23.1,2,1
23.7,61.5,0.1,21.1,0,23.1,1,1
23.7,61.5,0.1,21.1,0,23.1,3,1
23.7,61.5,0.1,21.1,0,23.1,4,2
23.7,61.5,0.1,21.1,1,23.1,1,2
23.7,55,0.1,22.4,0,23.1,6,2
23.7,55,0.1,22.4,-1,23.1,2,2
23.7,55,0.1,22.4,0,23.1,1,1
23.7,55,0.1,22.4,0,23.1,2,1
23.7,55,0.1,22.4,0,23.1,3,2
23.7,55,0.1,22.4,0,23.1,2,2
23.7,55,0.1,22.4,0,23.1,1,2
23.7,55,0.1,22.4,0,23.1,5,1
23.7,55,0.1,22.4,0,23.1,3,1
23.7,55,0.1,22.4,-1,23.1,2,1
23.7,77,0.1,27.7,0,23.1,2,2
23.7,77,0.1,27.7,0,23.1,1,1
23.7,77,0.1,27.7,0,23.1,2,1
23.7,77,0.1,27.7,1,23.1,2,2
23.7,77,0.1,27.7,0,23.1,4,2
23.7,77,0.1,27.7,0,23.1,1,2
23.7,77,0.1,27.7,1,23.1,4,2
23.7,77,0.1,27.7,2,23.1,1,2
23.7,77,0.1,27.7,1,23.1,1,2
23.7,77,0.1,27.7,0,23.1,3,1
23.7,71,0.1,29.5,0,23.1,2,2
23.7,71,0.1,29.5,-1,23.1,2,2
23.7,71,0.1,29.5,-1,23.1,2,1
23.7,71,0.1,29.5,0,23.1,2,1
23.7,71,0.1,29.5,0,23.1,3,2
23.7,97,0.1,25,-1,23.1,1,1
23.7,97,0.1,25,0,23.1,1,2
23.7,97,0.1,25,-1,23.1,2,2
23.7,97,0.1,25,-1,23.1,3,2
23.7,97,0.1,25,0,23.1,2,2
23.7,97,0.1,25,-1,23.1,1,2
23.7,97,0.1,25,0,23.1,2,1
23.7,76,0.1,27,0,23.1,1,2
23.7,76,0.1,27,-1,23.1,2,1
23.7,76,0.1,27,-1,23.1,2,2
23.7,76,0.1,27,0,23.1,2,1
23.7,76,0.1,27,-1,23.1,1,2
23.7,76,0.1,27,0,23.1,2,2
23.7,59,0.1,30,0,23.1,2,1
23.7,59,0.1,30,0,23.1,2,2
23.7,69,0.1,17.4,0,23.1,1,2
23.7,69,0.1,17.4,0,23.1,2,1
23.7,69,0.1,17.4,-1,23.1,2,1
23.7,69,0.1,17.4,-1,23.1,1,2
23.7,69,0.1,17.4,-1,23.1,3,2
23.7,69,0.1,17.4,0,23.1,3,2
23.7,69,0.1,17.4,0,23.1,3,1
23.7,69,0.1,17.4,0,23.1,6,2
23.7,69,0.1,17.4,0,23.1,2,2
23.7,69,0.1,17.4,-1,23.1,2,2
23.7,91,0.1,11.7,0,23.1,1,1
23.7,91,0.1,11.7,-1,23.1,1,1
23.7,91,0.1,11.7,-1,23.1,1,2
23.7,91,0.1,11.7,0,23.1,2,2
23.7,91,0.1,11.7,0,23.1,1,2
23.7,91,0.1,11.7,-1,23.1,2,2
23.7,91,0.1,11.7,0,23.1,3,1
23.7,91,0.1,11.7,1,23.1,2,1
23.7,82,0.1,12,2,23.1,2,2
23.7,82,0.1,12,-1,23.1,2,2
23.7,82,0.1,12,-1,23.1,1,2
23.7,82,0.1,12,-1,23.1,2,1
23.7,82,0.1,12,-1,23.1,4,1
23.7,82,0.1,12,0,23.1,1,1
23.7,82,0.1,12,-1,23.1,1,1
23.7,82,0.1,12,0,23.1,1,2
23.7,82,0.1,12,1,23.1,2,2
23.7,82,0.1,12,0,23.1,2,2
23.7,82,0.1,12,0,23.1,2,1
23.7,82,0.1,12,-1,23.1,3,2
23.7,82,0.1,12,1,23.1,1,2
23.7,67,0.1,12,-1,23.1,2,2
23.7,67,0.1,12,0,23.1,2,2
23.7,67,0.1,12,-1,23.1,1,2
23.7,67,0.1,12,0,23.1,1,2
23.7,67,0.1,12,-1,23.1,2,1
23.7,67,0.1,12,-1,23.1,3,2
23.7,67,0.1,12,-2,23.1,2,2
23.7,67,0.1,12,0,23.1,2,1
21.875,82,0.03,14,0,21.9,1,1
21.875,82,0.03,14,-1,21.9,1,2
21.875,82,0.03,14,0,21.9,2,2
21.875,82,0.03,14,0,21.9,2,1
21.875,82,0.03,14,-2,21.9,2,1
21.875,82,0.03,14,-1,21.9,2,1
21.875,82,0.03,14,0,21.9,1,2
21.875,82,0.03,14,-1,21.9,2,2
21.875,82,0.03,14,2,21.9,2,2
21.875,82,0.03,14,1,21.9,2,2
21.875,82,0.03,14,1,21.9,2,1
23.25,88,0.05,15,0,23.1,2,2
23.25,88,0.05,15,-1,23.1,2,2
23.25,88,0.05,15,0,23.1,3,2
23.25,88,0.05,15,-1,23.1,2,1
23.25,88,0.05,15,1,23.1,2,1
23.25,88,0.05,15,0,23.1,2,1
23.25,88,0.05,15,1,23.1,2,2
23.25,88,0.05,15,1,23.1,3,2
23.25,88,0.05,15,2,23.1,2,2
23.25,88,0.05,15,-1,23.1,1,2
23.7,20,0.1,12,0,23.1,1,2
23.7,20,0.1,12,0,23.1,1,1
23.7,20,0.1,12,-1,23.1,1,2
23.7,20,0.1,12,-1,23.1,1,1
23.7,20,0.1,12,2,23.1,2,1
23.7,20,0.1,12,0,23.1,2,2
23.7,7,0.1,25,0,23.1,1,2
23.7,7,0.1,25,0,23.1,1,1
23.7,7,0.1,25,1,23.1,1,1
23.7,7,0.1,25,0,23.1,2,1
23.7,7,0.1,25,0,23.1,2,2
23.7,7,0.1,25,2,23.1,1,2
23.7,7,0.1,25,-1,23.1,1,2
23.7,7,0.1,25,-1,23.1,2,2
23.7,40,0.1,30,0,23.1,1,1
23.7,40,0.1,30,0,23.1,1,2
23.7,40,0.1,30,0,23.1,2,2
23.7,40,0.1,30,-1,23.1,2,1
23.7,40,0.1,30,0,23.1,2,1
23.7,40,0.1,30,-1,23.1,1,1
23.7,40,0.1,30,-1,23.1,1,2
23.7,36,0.1,25,-1,23.1,1,1
23.7,36,0.1,25,0,23.1,1,1
23.7,36,0.1,25,0,23.1,1,2
23.7,36,0.1,25,0,23.1,2,1
23.7,36,0.1,25,2,23.1,1,2
23.7,36,0.1,25,-1,23.1,2,1
23.7,36,0.1,25,-1,23.1,1,2
23.7,36,0.1,25,-1,23.1,2,2
23.7,36,0.1,-9,-2,23.1,1,2
23.7,36,0.1,-9,0,23.1,1,2
23.7,36,0.1,-9,0,23.1,1,1
23.7,36,0.1,-9,1,23.1,1,2
23.7,36,0.1,-9,-1,23.1,1,2
23.7,36,0.1,-9,0,23.1,2,2
23.7,25,0.1,14,0,23.1,2,2
23.7,25,0.1,14,0,23.1,2,1
23.7,25,0.1,14,0,23.1,1,1
23.7,25,0.1,14,1,23.1,1,1
23.7,25,0.1,14,-1,23.1,2,1
23.7,25,0.1,14,0,23.1,3,2
23.7,25,0.1,14,0,23.1,1,2
23.7,25,0.1,14,-1,23.1,3,1
23.7,25,0.1,14,0,23.1,3,1
23.7,25,0.1,14,1,23.1,3,2
23.7,25,0.1,14,0,23.1,4,1
26.35,15,0.1,32,-1,23.1,2,2
26.35,15,0.1,32,0,23.1,3,1
26.35,15,0.1,32,0,23.1,2,1
26.35,15,0.1,32,0,23.1,4,1
26.35,15,0.1,32,-1,23.1,3,2
26.35,15,0.1,32,0,23.1,2,2
26.35,15,0.1,32,0,23.1,3,2
26.35,15,0.1,32,-1,23.1,2,1
26.35,15,0.1,32,0,23.1,1,1
26.35,15,0.1,32,-1,23.1,1,2
26.35,15,0.1,32,-1,23.1,4,2
26.35,15,0.1,32,0,23.1,1,2
26.35,15,0.1,32,-1,23.1,3,1
23.7,28.5,0.1,35.8,-1,23.1,4,1
23.7,28.5,0.1,35.8,0,23.1,1,1
23.7,28.5,0.1,35.8,2,23.1,1,1
23.7,28.5,0.1,35.8,0,23.1,1,2
23.7,28.5,0.1,35.8,2,23.1,1,2
23.7,28.5,0.1,35.8,1,23.1,1,1
23.7,28.5,0.1,35.8,0,23.1,2,1
23.7,28.5,0.1,35.8,2,23.1,2,1
23.7,23.3,0.1,40.8,-1,23.1,2,2
23.7,23.3,0.1,40.8,-1,23.1,4,1
23.7,23.3,0.1,40.8,-1,23.1,3,1
23.7,23.3,0.1,40.8,0,23.1,3,1
23.7,23.3,0.1,40.8,-1,23.1,2,1
23.7,23.3,0.1,40.8,0,23.1,3,2
23.7,48.3,0.1,32.8,2,23.1,1,1
23.7,48.3,0.1,32.8,0,23.1,3,1
23.7,48.3,0.1,32.8,1,23.1,1,1
23.7,48.3,0.1,32.8,2,23.1,2,2
23.7,48.3,0.1,32.8,2,23.1,1,2
22.4,54,0.1,14.1,-1,23.1,2,2
22.4,54,0.1,14.1,-1,23.1,6,2
22.4,54,0.1,14.1,-1,23.1,3,1
22.4,54,0.1,14.1,0,23.1,4,2
22.4,54,0.1,14.1,-1,23.1,3,2
22.4,54,0.1,14.1,0,23.1,3,1
22.4,54,0.1,14.1,0,23.1,3,2
22.4,54,0.1,14.1,-1,23.1,5,2
22.4,54,0.1,14.1,0,23.1,6,2
22.4,54,0.1,14.1,1,23.1,4,2
22.4,54,0.1,14.1,-1,23.1,2,1
22.4,54,0.1,14.1,1,23.1,4,1
22.4,54,0.1,14.1,-1,23.1,4,1
22.4,54,0.1,14.1,0,23.1,5,2
22.4,54,0.1,14.1,-1,23.1,5,1
22.4,54,0.1,14.1,0,23.1,5,1
20.5,31,0.03,22.7,-1,23.1,4,1
20.5,31,0.03,22.7,0,23.1,3,2
20.5,31,0.03,22.7,-1,23.1,2,1
20.5,31,0.03,22.7,0,23.1,2,1
20.5,31,0.03,22.7,0,23.1,2,2
20.5,31,0.03,22.7,-1,23.1,2,2
21.9,75,0.1,14.1,0,23.1,2,2
21.9,75,0.1,14.1,0,23.1,2,1
21.9,75,0.1,14.1,-1,23.1,2,1
21.9,75,0.1,14.1,-1,23.1,2,2
21.9,75,0.1,14.1,-2,23.1,2,1
21.9,75,0.1,14.1,-2,23.1,1,2
21.9,75,0.1,14.1,-2,23.1,2,2
21.9,75,0.1,14.1,-2,23.1,3,2
22,60,0.1,14.5,0,23.1,1,1
22,60,0.1,14.5,-1,23.1,1,2
22,60,0.1,14.5,0,23.1,1,2
22,60,0.1,14.5,-1,23.1,1,1
22,60,0.1,14.5,-1,23.1,2,1
22.8,36,0.1,20.4,0,23.1,1,1
22.8,36,0.1,20.4,-1,23.1,1,2
22.8,36,0.1,20.4,0,23.1,1,2
22.8,36,0.1,20.4,1,23.1,1,2
22.8,36,0.1,20.4,1,23.1,1,1
23.7,39,0.1,30.43,1,23.1,1,2
23.7,39,0.1,30.43,2,23.1,1,1
23.7,39,0.1,30.43,0,23.1,2,2
23.7,39,0.1,30.43,0,23.1,3,2
23.7,39,0.1,30.43,0,23.1,1,1
23.7,39,0.1,30.43,1,23.1,1,1
23.7,39,0.1,30.43,-1,23.1,1,1
23.7,39,0.1,30.43,1,23.1,2,2
23.7,39,0.1,30.43,1,23.1,4,1
23.7,39,0.1,30.43,1,23.1,2,1
23.7,39,0.1,30.43,0,23.1,1,2
23.7,88.14,0.1,19.46,-1,23.1,3,1
23.7,88.14,0.1,19.46,0,23.1,2,1
23.7,88.14,0.1,19.46,-1,23.1,2,1
23.7,88.14,0.1,19.46,0,23.1,2,2
23.7,99.73,0.1,3.88,0,23.1,2,2
23.7,99.73,0.1,3.88,-2,23.1,2,2
23.7,99.73,0.1,3.88,0,23.1,1,2
23.7,99.73,0.1,3.88,-1,23.1,1,1
23.7,99.73,0.1,3.88,-1,23.1,2,1
23.7,99.73,0.1,3.88,0,23.1,2,1
23.7,99.73,0.1,3.88,0,23.1,1,1
23.7,99.73,0.1,3.88,1,23.1,2,1
23.7,99.73,0.1,3.88,1,23.1,1,1
23.7,99.73,0.1,3.88,1,23.1,1,2
23.7,99.73,0.1,3.88,-1,23.1,2,2
23.7,99.73,0.1,3.88,-1,23.1,1,2
23.7,88,0.1,8.3,0,23.1,2,2
23.7,88,0.1,8.3,-1,23.1,1,1
23.7,88,0.1,8.3,0,23.1,1,2
23.7,88,0.1,8.3,0,23.1,1,1
23.7,88,0.1,8.3,0,23.1,3,1
23.7,88,0.1,8.3,1,23.1,3,2
23.7,88,0.1,8.3,0,23.1,3,2
23.7,88,0.1,8.3,0,23.1,2,1
23.7,88,0.1,8.3,0,23.1,4,2
23.7,88,0.1,8.3,-1,23.1,1,2
23.7,88,0.1,8.3,1,23.1,1,1
23.7,88,0.1,8.3,-1,23.1,2,1
23.7,88,0.1,8.3,0,23.1,4,1
23.7,88,0.1,8.3,1,23.1,2,2
23.7,88,0.1,8.3,-1,23.1,2,2
23.7,88,0.1,8.3,1,23.1,1,2
23.7,75,0.1,3.3,1,23.1,1,2
23.7,75,0.1,3.3,0,23.1,4,1
23.7,75,0.1,3.3,0,23.1,2,1
23.7,75,0.1,3.3,0,23.1,2,2
23.7,75,0.1,3.3,0,23.1,1,1
23.7,75,0.1,3.3,0,23.1,3,1
23.7,75,0.1,3.3,0,23.1,1,2
23.7,91,0.1,1.1,0,23.1,2,2
23.7,91,0.1,1.1,0,23.1,1,1
23.7,91,0.1,1.1,-1,23.1,3,1
23.7,91,0.1,1.1,-1,23.1,2,2
23.7,91,0.1,1.1,-1,23.1,1,1
23.7,91,0.1,1.1,1,23.1,2,2
23.7,91,0.1,1.1,1,23.1,2,1
23.7,91,0.1,1.1,0,23.1,1,2
23.7,91,0.1,1.1,-1,23.1,2,1
23.7,91,0.1,1.1,1,23.1,1,2
23.7,91,0.1,1.1,0,23.1,3,1
23.7,77,0.1,15,-1,23.1,4,1
23.7,77,0.1,15,0,23.1,2,2
23.7,77,0.1,15,-1,23.1,2,2
23.7,77,0.1,15,0,23.1,5,2
23.7,77,0.1,15,0,23.1,2,1
23.7,77,0.1,15,1,23.1,5,2
23.7,77,0.1,15,-1,23.1,3,2
23.7,77,0.1,15,-1,23.1,2,1
23.7,77,0.1,15,0,23.1,4,2
23.7,77,0.1,15,0,23.1,3,2
23.7,77,0.1,15,0,23.1,3,1
23.7,77,0.1,15,1,23.1,2,1
23.7,60,0.1,18.3,0,23.1,2,1
23.7,60,0.1,18.3,0,23.1,1,2
23.7,60,0.1,18.3,0,23.1,3,2
23.7,60,0.1,18.3,-1,23.1,3,1
23.7,60,0.1,18.3,1,23.1,1,1
23.7,60,0.1,18.3,0,23.1,1,1
23.7,60,0.1,18.3,0,23.1,2,2
23.7,60,0.1,18.3,1,23.1,2,2
23.7,60,0.1,18.3,1,23.1,3,2
23.7,60,0.1,18.3,-1,23.1,2,2
23.7,60,0.1,18.3,-1,23.1,2,1
23.7,60,0.1,18.3,-1,23.1,1,1
23.7,53,0.1,21.7,0,23.1,3,2
23.7,53,0.1,21.7,0,23.1,2,1
23.7,53,0.1,21.7,0,23.1,3,1
23.7,53,0.1,21.7,-1,23.1,2,1
23.7,53,0.1,21.7,0,23.1,1,1
23.7,53,0.1,21.7,-1,23.1,1,1
23.7,53,0.1,21.7,1,23.1,1,2
23.7,53,0.1,21.7,0,23.1,2,2
23.7,53,0.1,21.7,2,23.1,2,2
23.7,53,0.1,21.7,0,23.1,1,2
23.7,53,0.1,21.7,1,23.1,2,2
23,44,0.1,12,0,23.1,1,2
23,44,0.1,12,0,23.1,2,2
23,44,0.1,12,1,23.1,1,2
23,44,0.1,12,0,23.1,1,1
23,44,0.1,12,1,23.1,2,2
23,44,0.1,12,1,23.1,1,1
23,44,0.1,12,-1,23.1,1,1
23,44,0.1,12,0,23.1,2,1
23,44,0.1,12,-1,23.1,1,2
23,44,0.1,12,-1,23.1,2,1
23,44,0.1,12,0,23.1,4,1
23,44,0.1,12,0,23.1,3,2
23,44,0.1,12,1,23.1,3,1
23,44,0.1,12,-1,23.1,2,2
23,44,0.1,12,0,23.1,3,1
24.1,53,0.1,27.8,-1,23.1,1,2
24.1,53,0.1,27.8,-1,23.1,2,2
24.1,53,0.1,27.8,0,23.1,1,1
24.1,53,0.1,27.8,-1,23.1,1,1
24.1,53,0.1,27.8,0,23.1,1,2
24.1,53,0.1,27.8,-1,23.1,2,1
24.1,53,0.1,27.8,-1,23.1,3,2
24.1,53,0.1,27.8,0,23.1,2,2
24.1,53,0.1,27.8,-1,23.1,4,2
24.1,53,0.1,27.8,-2,23.1,1,1
24.1,53,0.1,27.8,1,23.1,1,1
22,91,0.1,13.1,-1,23.1,1,2
22,91,0.1,13.1,1,23.1,1,2
22,91,0.1,13.1,0,23.1,1,2
22,91,0.1,13.1,-1,23.1,1,1
22,91,0.1,13.1,-1,23.1,2,1
22,91,0.1,13.1,0,23.1,2,2
22,91,0.1,13.1,0,23.1,2,1
22,91,0.1,13.1,-1,23.1,2,2
22,91,0.1,13.1,0,23.1,1,1
22,91,0.1,13.1,2,23.1,1,2
21.75,91,0.1,8.2,0,23.1,1,1
21.75,91,0.1,8.2,0,23.1,3,2
21.75,91,0.1,8.2,0,23.1,1,2
21.75,91,0.1,8.2,-1,23.1,1,2
21.75,91,0.1,8.2,-1,23.1,1,1
21.75,91,0.1,8.2,-1,23.1,2,1
21.75,91,0.1,8.2,1,23.1,1,2
21.75,91,0.1,8.2,0,23.1,2,2
21.75,91,0.1,8.2,-1,23.1,3,1
21.75,91,0.1,8.2,0,23.1,2,1
23.7,97,0.1,8.9,0,23.1,3,1
23.7,97,0.1,8.9,0,23.1,4,1
23.7,97,0.1,8.9,-1,23.1,2,1
23.7,97,0.1,8.9,0,23.1,2,1
23.7,97,0.1,8.9,-1,23.1,3,1
23.7,97,0.1,8.9,1,23.1,3,2
23.7,97,0.1,8.9,-1,23.1,2,2
23.7,97,0.1,8.9,0,23.1,5,2
23.7,97,0.1,8.9,-1,23.1,5,2
23.7,97,0.1,8.9,-1,23.1,4,2
23.7,87,0.1,10,-1,23.1,2,2
23.7,87,0.1,10,-1,23.1,2,1
23.7,87,0.1,10,0,23.1,1,2
23.7,87,0.1,10,1,23.1,2,1
23.7,87,0.1,10,-1,23.1,1,1
23.7,87,0.1,10,0,23.1,1,1
23.7,87,0.1,10,1,23.1,1,1
23.7,87,0.1,10,0,23.1,2,1
23.7,87,0.1,10,0,23.1,6,1
23.7,87,0.1,10,-2,23.1,2,1
