,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Thermal sensation,Thermal preference,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
10,Italy,-0.1,5,24.06,0.34,1.2,25.7,58.8,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.7,76.5,25.3,77.5,25.3,77.5,25.2,77.3,23.8,74.9,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
11,Italy,0.4,8,25.98,0.45,1.2,26.6,59.2,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,79.8,26.6,79.8,25.5,77.9,25.8,78.4,26.2,79.1,26,78.8,24.3,75.7,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
12,Italy,-0.2,6,23.8,0.37,1.2,25.1,50.4,0,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,77.1,25.1,77.1,24.2,75.6,24.9,76.7,24.6,76.3,24.6,76.3,23.4,74.1,0,0,0,0,0,0,0,1,0,0,0,0,25,77,Database 2
13,Italy,0.6,13,27.37,0.44,1.7,25.1,51.8,0.08,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,cooler,5,1,1.2,2,2,77.2,25.1,77.2,24.6,76.3,24.9,76.8,24.8,76.6,24.8,76.6,23.5,74.4,15.75,0.08,15.75,0.04,7.88,0,0,1,1,0,0,0,25,77,Database 2
14,Italy,0.1,5,24.69,0.38,1.2,26.4,47.3,0.06,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,79.5,26.4,79.5,25.6,78.2,25.6,78.1,26.1,78.9,25.9,78.5,24.2,75.6,11.81,0.06,11.81,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
15,Italy,0.2,6,25.23,0.43,1.2,26.4,47.4,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,4,1.2,2,1,1,79.5,26.4,79.5,25.7,78.3,25.6,78,26.2,79.1,25.9,78.6,24.2,75.5,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
16,Italy,0.5,11,26.02,0.38,1.2,27.9,42.7,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,82.3,27.9,82.3,27.1,80.7,26.6,79.8,27.4,81.4,27,80.6,25.1,77.2,3.94,0.02,3.94,0,0,0,0,1,0,0,0,0,25,77,Database 2
17,Italy,-0.3,7,23.99,0.68,1.2,22.8,49.7,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,-2,warmer,6,1.2,1.2,1.2,1.2,73,22.8,73,22.1,71.8,22.8,73,22.6,72.6,22.7,72.8,21.5,70.6,7.87,0.04,7.87,0.04,7.88,0,0,1,0,0,1,0,25,77,Database 2
18,Italy,-0.2,6,24.47,0.74,1.2,22.8,49.7,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,-2,warmer,5,1.2,1.2,1.2,1.2,73,22.8,73,22.1,71.8,22.8,73,22.6,72.6,22.7,72.8,21.5,70.6,7.87,0.04,7.87,0.04,7.88,0,0,1,0,0,1,0,25,77,Database 2
19,Italy,-0.2,6,24.47,0.88,1.1,22.9,49.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,-1,warmer,5,1.2,1.2,1,1,73.2,22.9,73.2,22.3,72.1,22.9,73.3,22.7,72.8,22.8,73,21.6,70.9,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
20,Italy,0.9,23,30.61,0.8,2,22.9,49.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,2,2,2,2,73.2,22.9,73.2,22.3,72.1,22.9,73.3,22.7,72.8,22.8,73,21.6,70.9,7.87,0.04,7.87,0.02,3.94,0,0,0,0,0,1,0,25,77,Database 2
21,Italy,0,5,25.26,0.88,1.2,23.3,27.3,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,74,23.3,74,22,71.7,23,73.5,22.8,73,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0,1,0,1,1,5,41,Database 2
22,Italy,-0.4,8,23.55,0.64,1.2,23.3,27.3,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,74,23.3,74,22,71.7,23,73.5,22.8,73,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0,0,0,1,0,5,41,Database 2
23,Italy,0.1,5,25.59,0.86,1.3,23.3,27.3,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.6,1.2,1.2,74,23.3,74,22,71.7,23,73.5,22.8,73,22.7,72.9,21.8,71.2,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
24,Italy,,,,0.6,,23.9,28.1,0.26,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,6,1,,,,74.9,23.9,74.9,22.5,72.5,23.4,74.1,23.3,74,23.1,73.7,22.1,71.7,51.18,0.26,51.18,0.07,13.79,0.1,19.7,0,0,0,1,0,5,41,Database 2
25,Italy,0.9,21,26.95,0.76,2.4,23.4,20.1,0.62,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,2,cooler,2,2,2,2,2.8,74.1,23.4,74.1,21.8,71.2,23.1,73.6,23.4,74,23.6,74.5,21.9,71.5,122.05,0.62,122.05,0.07,13.79,0.1,19.7,1,0,0,1,1,5,41,Database 2
26,Italy,0.5,10,26.43,0.51,1.7,24.9,21.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1,1,1.9,2,76.7,24.9,76.7,23.5,74.3,23.7,74.7,25.3,77.5,25.2,77.4,22.6,72.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
27,Italy,0.4,8,26.04,0.64,1.2,26.3,24,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,79.3,26.3,79.3,23.6,74.5,24,75.1,29.2,84.6,24.4,76,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,0,5,41,Database 2
28,Italy,0.5,9,26.92,0.98,1,26.3,24,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,no change,6,1,1,1,1,79.3,26.3,79.3,23.6,74.5,24,75.1,29.2,84.6,24.4,76,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
29,Italy,0.1,5,25.52,0.73,1,26.3,24,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1,1,1,1,79.3,26.3,79.3,23.6,74.5,24,75.1,29.2,84.6,24.4,76,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
30,Italy,0.6,13,27.45,0.86,1.2,26.3,24,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,79.3,26.3,79.3,23.6,74.5,24,75.1,29.2,84.6,24.4,76,22.7,72.9,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
31,Italy,-0.2,6,23.76,0.62,1.3,25.8,24.5,0.3,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Air Conditioned,Mechanical Heating,0,no change,4,1.6,1.2,1.2,1.2,78.4,25.8,78.4,23.4,74.1,23.9,75.1,27.6,81.7,24.1,75.3,22.6,72.7,59.06,0.3,59.06,0.07,13.79,0.1,19.7,0,0,0,1,0,5,41,Database 2
32,Italy,-1.1,31,20.54,0.79,1.2,23.5,24.3,0.88,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.1,71.8,22.9,73.2,22.9,73.2,22.7,72.8,21.6,70.9,173.23,0.88,173.23,0.07,13.79,0.1,19.7,0,1,0,1,1,5,41,Database 2
33,Italy,-0.5,10,22.84,1.06,1.2,23.5,24.3,0.88,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.1,71.8,22.9,73.2,22.9,73.2,22.7,72.8,21.6,70.9,173.23,0.88,173.23,0.07,13.79,0.1,19.7,0,1,0,1,1,5,41,Database 2
34,Italy,0.2,6,25.98,0.97,1.2,24.1,18.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,75.4,24.1,75.4,22.4,72.4,23.3,74,23.5,74.3,23.2,73.8,22,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,1,0,1,1,5,41,Database 2
35,Italy,-0.3,7,24.34,0.91,1,24.1,18.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1,1,1,1,75.4,24.1,75.4,22.4,72.4,23.3,74,23.5,74.3,23.2,73.8,22,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
36,Italy,0.1,5,25.72,0.93,1.2,24.1,18.6,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,75.4,24.1,75.4,22.4,72.4,23.3,74,23.5,74.3,23.2,73.8,22,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,1,0,1,1,5,41,Database 2
37,Italy,0,5,24.91,0.79,1.2,24.2,20,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Air Conditioned,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,75.6,24.2,75.6,22.6,72.6,23.4,74.1,23.6,74.4,23.3,74,22.1,71.8,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0,0,0,0,0,5,41,Database 2
38,Italy,-0.5,10,23.34,0.83,1.2,21.6,25.4,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,71,21.6,71,20.3,68.6,21.3,70.3,20.9,69.7,20.9,69.6,19.9,67.9,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0,0,0,1,0,5,41,Database 2
39,Italy,-0.4,8,23.98,0.92,1.2,21.6,25.4,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Winter,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,-1,warmer,6,1.2,1.2,1.2,1.2,71,21.6,71,20.3,68.6,21.3,70.3,20.9,69.7,20.9,69.6,19.9,67.9,3.94,0.02,3.94,0.07,13.79,0.1,19.7,0,0,0,1,1,5,41,Database 2
