,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
14,Thailand,-0.29,6.73,24.25,0.61,1.1,23,58.9,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37,0,no change,73.4,23,73.4,23.6,74.5,24.2,75.5,19.69,0.1,19.69,Database 1
15,Thailand,-0.3,6.83,24.36,0.61,1.1,23.1,58.9,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31,1,cooler,73.6,23.1,73.6,23.7,74.7,24.3,75.7,21.65,0.11,21.65,Database 1
16,Thailand,0.01,5,25.67,0.61,1.1,24.6,59.6,0.14,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,30,1,cooler,76.3,24.6,76.3,24.9,76.9,25.3,77.5,27.56,0.14,27.56,Database 1
17,Thailand,0.24,6.17,26.2,0.61,1.1,25.1,59.2,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,0,no change,77.2,25.1,77.2,25.4,77.7,25.6,78.2,21.65,0.11,21.65,Database 1
18,Thailand,0.3,6.93,26.4,0.65,1.1,24.9,58.3,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,38,-1,no change,76.8,24.9,76.8,25.3,77.6,25.8,78.4,19.69,0.1,19.69,Database 1
19,Thailand,0.09,5.15,25.83,0.51,1.1,25.3,58.8,0.14,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24,1,cooler,77.5,25.3,77.5,25.8,78.4,26.3,79.3,27.56,0.14,27.56,Database 1
20,Thailand,0.21,5.93,26.3,0.66,1.1,24.7,58.4,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,1,cooler,76.5,24.7,76.5,25.2,77.3,25.7,78.2,23.62,0.12,23.62,Database 1
21,Thailand,-0.18,5.67,24.92,0.55,1.1,24.3,59.9,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,36,2,cooler,75.7,24.3,75.7,24.7,76.4,25.1,77.1,25.59,0.13,25.59,Database 1
22,Thailand,0.25,6.28,26.77,0.84,1.1,24,60.2,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,53,0,no change,75.2,24,75.2,24.5,76.1,25,77,29.53,0.15,29.53,Database 1
23,Thailand,-0.11,5.25,24.93,0.56,1.1,24.2,59.8,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29,0,no change,75.6,24.2,75.6,24.6,76.2,25,76.9,21.65,0.11,21.65,Database 1
24,Thailand,-0.15,5.46,25.06,0.56,1.1,24.2,59.4,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,35,0,cooler,75.6,24.2,75.6,24.7,76.4,25.2,77.3,25.59,0.13,25.59,Database 1
25,Thailand,-0.07,5.09,25.51,0.65,1.1,23.8,59.7,0.14,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,52,-1,cooler,74.8,23.8,74.8,24.5,76.1,25.2,77.4,27.56,0.14,27.56,Database 1
26,Thailand,-0.55,11.32,23.61,0.34,1.1,24.8,63.8,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,34,0,no change,76.6,24.8,76.6,25.2,77.3,25.6,78,29.53,0.15,29.53,Database 1
27,Thailand,0.31,7.06,26.51,0.56,1.1,25.8,64.8,0.17,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,32,1,cooler,78.4,25.8,78.4,26.2,79.2,26.7,80,33.46,0.17,33.46,Database 1
28,Thailand,0.32,7.09,26.74,0.65,1.1,24.9,63.6,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29,1,cooler,76.8,24.9,76.8,25.4,77.8,26,78.8,23.62,0.12,23.62,Database 1
29,Thailand,0.13,5.33,26.07,0.63,1.1,24.7,61.9,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24,1,cooler,76.5,24.7,76.5,25,77,25.4,77.6,25.59,0.13,25.59,Database 1
30,Thailand,-0.15,5.49,25.01,0.64,1.1,23.9,61.2,0.17,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,0,cooler,75,23.9,75,24.5,76,25,77,33.46,0.17,33.46,Database 1
31,Thailand,-0.29,6.75,24.53,0.65,1.1,23.5,61,0.17,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,0,no change,74.3,23.5,74.3,24,75.2,24.5,76.1,33.46,0.17,33.46,Database 1
32,Thailand,-0.67,14.57,23.12,0.56,1.1,23.3,61.6,0.21,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,0,no change,73.9,23.3,73.9,23.7,74.7,24.2,75.6,41.34,0.21,41.34,Database 1
33,Thailand,-0.29,6.7,24.32,0.56,1.1,23.6,62.4,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,54,-1,cooler,74.5,23.6,74.5,24,75.2,24.4,75.8,21.65,0.11,21.65,Database 1
34,Thailand,-0.28,6.62,24.6,0.55,1.1,24.1,61.7,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24,1,cooler,75.4,24.1,75.4,24.5,76.2,25,77,29.53,0.15,29.53,Database 1
35,Thailand,-0.33,7.31,24.3,0.55,1.1,23.7,57,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29,-1,no change,74.7,23.7,74.7,24.2,75.5,24.7,76.4,23.62,0.12,23.62,Database 1
36,Thailand,-0.98,25.36,22.35,0.34,1.1,23.6,57.1,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,23,1,no change,74.5,23.6,74.5,24,75.2,24.4,75.9,25.59,0.13,25.59,Database 1
37,Thailand,-0.98,25.48,22.32,0.34,1.1,23.7,56.6,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27,-1,warmer,74.7,23.7,74.7,24,75.2,24.2,75.6,25.59,0.13,25.59,Database 1
38,Thailand,-0.87,20.93,22.74,0.46,1.1,23.1,57.1,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25,0,no change,73.6,23.1,73.6,23.6,74.5,24.1,75.4,29.53,0.15,29.53,Database 1
39,Thailand,-0.5,10.23,23.58,0.56,1.1,23.1,56.9,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27,0,no change,73.6,23.1,73.6,23.4,74.2,23.7,74.7,21.65,0.11,21.65,Database 1
40,Thailand,-0.85,20.24,22.55,0.46,1.1,23,57.1,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,23,0,no change,73.4,23,73.4,23.3,73.9,23.5,74.4,23.62,0.12,23.62,Database 1
41,Thailand,-0.53,10.79,23.5,0.63,1.1,22.5,57.1,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25,0,no change,72.5,22.5,72.5,22.8,73.1,23.1,73.7,21.65,0.11,21.65,Database 1
42,Thailand,-0.75,16.72,23.05,0.65,1.1,22,57.9,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31,0,no change,71.6,22,71.6,22.4,72.4,22.9,73.2,29.53,0.15,29.53,Database 1
43,Thailand,-1.42,46.81,21.08,0.41,1.1,21.6,58.2,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,38,0,no change,70.9,21.6,70.9,22.1,71.9,22.7,72.8,25.59,0.13,25.59,Database 1
44,Thailand,-0.69,15.05,22.76,0.57,1.1,22.3,58,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,21,0,cooler,72.1,22.3,72.1,22.6,72.7,22.9,73.3,19.69,0.1,19.69,Database 1
45,Thailand,-0.45,9.23,24.05,0.68,1.1,22.6,57.8,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,21,0,no change,72.7,22.6,72.7,23,73.4,23.4,74.1,25.59,0.13,25.59,Database 1
46,Thailand,-0.58,11.99,23.5,0.65,1.1,22.2,56.8,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31,0,no change,72,22.2,72,22.7,72.8,23.2,73.7,23.62,0.12,23.62,Database 1
47,Thailand,-0.8,18.59,22.89,0.65,1.1,21.8,56.7,0.16,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,46,-2,warmer,71.2,21.8,71.2,22.4,72.3,23,73.4,31.5,0.16,31.5,Database 1
48,Thailand,-1.1,30.73,21.98,0.56,1.1,21.5,57.5,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,-1,no change,70.7,21.5,70.7,22,71.7,22.6,72.7,29.53,0.15,29.53,Database 1
49,Thailand,-1.65,59.17,20.52,0.34,1.1,21.7,57.1,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,0,no change,71.1,21.7,71.1,22.2,72,22.8,73,25.59,0.13,25.59,Database 1
50,Thailand,-0.86,20.64,22.42,0.56,1.1,21.7,57.7,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29,0,no change,71.1,21.7,71.1,22.3,72.1,22.9,73.2,21.65,0.11,21.65,Database 1
51,Thailand,0.06,5.07,25.91,0.96,1.1,22.3,56.9,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,29,-2,warmer,72.1,22.3,72.1,22.7,72.9,23.2,73.7,19.69,0.1,19.69,Database 1
52,Thailand,-0.37,7.8,24.19,0.46,1.1,24.5,37.7,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,44,1,cooler,76.1,24.5,76.1,25.1,77.2,25.7,78.2,23.62,0.12,23.62,Database 1
53,Thailand,-0.04,5.03,25.2,0.59,1.1,24.5,36.6,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,30,0,cooler,76.1,24.5,76.1,25.2,77.4,25.9,78.6,21.65,0.11,21.65,Database 1
54,Thailand,-0.12,5.31,24.88,0.55,1.1,24.6,36.5,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,0,no change,76.3,24.6,76.3,25.2,77.3,25.8,78.4,21.65,0.11,21.65,Database 1
55,Thailand,-0.19,5.72,24.67,0.56,1.1,24.5,36.5,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,24,0,no change,76.1,24.5,76.1,24.9,76.8,25.3,77.5,21.65,0.11,21.65,Database 1
56,Thailand,-0.78,17.9,23.01,0.57,1.1,23.3,37.3,0.21,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27,-1,no change,73.9,23.3,73.9,23.9,75,24.5,76.2,41.34,0.21,41.34,Database 1
57,Thailand,-0.86,20.45,22.94,0.56,1.1,22.6,37.8,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,22,-1,no change,72.7,22.6,72.7,23.2,73.8,23.8,74.9,29.53,0.15,29.53,Database 1
58,Thailand,-0.42,8.73,24.04,0.67,1.1,22.8,37.6,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25,0,no change,73,22.8,73,23.4,74.1,24,75.2,21.65,0.11,21.65,Database 1
59,Thailand,-0.63,13.46,23.62,0.56,1.1,23.2,37,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0,no change,73.8,23.2,73.8,23.9,75,24.6,76.3,29.53,0.15,29.53,Database 1
60,Thailand,-0.38,8,23.99,0.56,1.1,23.6,36.6,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,1,cooler,74.5,23.6,74.5,24.1,75.4,24.7,76.4,19.69,0.1,19.69,Database 1
61,Thailand,-0.56,11.48,23.75,0.56,1.1,23.6,36.3,0.13,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27,0,cooler,74.5,23.6,74.5,23.9,75.1,24.3,75.7,25.59,0.13,25.59,Database 1
62,Thailand,-0.72,16.04,23.14,0.46,1.1,23.7,35.6,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,0,no change,74.7,23.7,74.7,24.1,75.3,24.5,76,23.62,0.12,23.62,Database 1
63,Thailand,-0.47,9.68,23.84,0.56,1.1,23.4,35.4,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,25,1,cooler,74.1,23.4,74.1,24,75.2,24.6,76.3,21.65,0.11,21.65,Database 1
64,Thailand,-0.28,6.67,24.49,0.65,1.1,23.4,35.2,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,22,0,cooler,74.1,23.4,74.1,24,75.3,24.7,76.5,21.65,0.11,21.65,Database 1
65,Thailand,-0.57,11.71,23.83,0.56,1.1,23.5,35.1,0.14,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,0,cooler,74.3,23.5,74.3,24,75.3,24.6,76.3,27.56,0.14,27.56,Database 1
